video,resolution,crf,bitrate_kbps,vmaf
bigbuck_bunny_av1_360p_crf18.mkv,360,18,1297.218,97.95561890166671
bigbuck_bunny_av1_360p_crf24.mkv,360,24,988.461,97.87291278333329
bigbuck_bunny_av1_360p_crf30.mkv,360,30,702.64,97.70507073666678
bigbuck_bunny_av1_360p_crf36.mkv,360,36,489.77,97.41743122833336
bigbuck_bunny_av1_720p_crf18.mkv,720,18,3610.65,97.99182984499993
bigbuck_bunny_av1_720p_crf24.mkv,720,24,2671.276,97.9064958916666
bigbuck_bunny_av1_720p_crf30.mkv,720,30,1831.112,97.71648476666671
bigbuck_bunny_av1_720p_crf36.mkv,720,36,1241.788,97.44208523333326
bigbuck_bunny_av1_1080p_crf18.mkv,1080,18,6746.352,97.9448692716667
bigbuck_bunny_av1_1080p_crf24.mkv,1080,24,4893.221,97.83351527500002
bigbuck_bunny_av1_1080p_crf30.mkv,1080,30,3268.441,97.66631683833327
bigbuck_bunny_av1_1080p_crf36.mkv,1080,36,2172.82,97.38239224333323
bigbuck_bunny_av1_2160p_crf18.mkv,2160,18,18282.435,98.16418135833328
bigbuck_bunny_av1_2160p_crf24.mkv,2160,24,13225.133,98.05831672833335
bigbuck_bunny_av1_2160p_crf30.mkv,2160,30,8443.595,97.84220618666679
bigbuck_bunny_av1_2160p_crf36.mkv,2160,36,5436.663,97.52291480499997
