video,resolution,crf,bitrate_kbps,vmaf
Giftmord-SDR_8s_av1_360p_crf18.mkv,360,18,1581.486,66.85163886458331
Giftmord-SDR_8s_av1_360p_crf24.mkv,360,24,923.726,66.82209568958332
Giftmord-SDR_8s_av1_360p_crf30.mkv,360,30,603.919,66.71186369166666
Giftmord-SDR_8s_av1_360p_crf36.mkv,360,36,443.694,66.62020429999998
Giftmord-SDR_8s_av1_720p_crf18.mkv,720,18,9349.097,51.80114231458338
Giftmord-SDR_8s_av1_720p_crf24.mkv,720,24,4841.618,51.803084583333295
Giftmord-SDR_8s_av1_720p_crf30.mkv,720,30,2007.317,51.696201706249944
Giftmord-SDR_8s_av1_720p_crf36.mkv,720,36,974.532,51.68198112083337
Giftmord-SDR_8s_av1_1080p_crf18.mkv,1080,18,21066.095,42.99972268125001
Giftmord-SDR_8s_av1_1080p_crf24.mkv,1080,24,12504.502,43.023169162500004
Giftmord-SDR_8s_av1_1080p_crf30.mkv,1080,30,5628.199,42.983875583333344
Giftmord-SDR_8s_av1_1080p_crf36.mkv,1080,36,2278.559,42.98229469791669
Giftmord-SDR_8s_av1_2160p_crf18.mkv,2160,18,58247.882,30.95659575625002
Giftmord-SDR_8s_av1_2160p_crf24.mkv,2160,24,41346.546,30.89482389374998
Giftmord-SDR_8s_av1_2160p_crf30.mkv,2160,30,25351.735,30.886993616666675
Giftmord-SDR_8s_av1_2160p_crf36.mkv,2160,36,13689.52,30.900437916666682
