video,resolution,crf,bitrate_kbps,vmaf
water_netflix_av1_360p_crf18.mkv,360,18,11076.624,51.76234624207012
water_netflix_av1_360p_crf24.mkv,360,24,8369.595,51.779568235392325
water_netflix_av1_360p_crf30.mkv,360,30,5497.808,51.76931769616029
water_netflix_av1_360p_crf36.mkv,360,36,3315.179,51.85478118864776
water_netflix_av1_720p_crf18.mkv,720,18,32734.87,28.3849752420701
water_netflix_av1_720p_crf24.mkv,720,24,24976.643,28.362148183639405
water_netflix_av1_720p_crf30.mkv,720,30,16745.072,28.46123731051752
water_netflix_av1_720p_crf36.mkv,720,36,10575.139,28.603757180300512
water_netflix_av1_1080p_crf18.mkv,1080,18,55735.135,21.264023532554248
water_netflix_av1_1080p_crf24.mkv,1080,24,42775.886,21.270979200333898
water_netflix_av1_1080p_crf30.mkv,1080,30,29189.486,21.301640457429055
water_netflix_av1_1080p_crf36.mkv,1080,36,18871.199,21.412893392320555
water_netflix_av1_2160p_crf18.mkv,2160,18,123305.219,13.563302916527544
water_netflix_av1_2160p_crf24.mkv,2160,24,95134.68,13.55746587312187
water_netflix_av1_2160p_crf30.mkv,2160,30,67490.68,13.565347155258781
water_netflix_av1_2160p_crf36.mkv,2160,36,46409.776,13.621608447412367
