video,resolution,crf,vmaf
fr-041_debris_h265_360p_crf18.mp4,360,18,97.47748379166659
fr-041_debris_h265_360p_crf24.mp4,360,24,94.83635590625003
fr-041_debris_h265_360p_crf30.mp4,360,30,89.4757592083333
fr-041_debris_h265_360p_crf36.mp4,360,36,80.34871028125005
fr-041_debris_h265_720p_crf18.mp4,720,18,98.72038162291672
fr-041_debris_h265_720p_crf24.mp4,720,24,96.4814278499999
fr-041_debris_h265_720p_crf30.mp4,720,30,90.3170231083333
fr-041_debris_h265_720p_crf36.mp4,720,36,79.45908494166659
fr-041_debris_h265_1080p_crf18.mp4,1080,18,99.06039988333332
fr-041_debris_h265_1080p_crf24.mp4,1080,24,97.72482378958328
fr-041_debris_h265_1080p_crf30.mp4,1080,30,92.01858708750001
fr-041_debris_h265_1080p_crf36.mp4,1080,36,80.91064040208333
fr-041_debris_h265_2160p_crf18.mp4,2160,18,99.36052935000001
fr-041_debris_h265_2160p_crf24.mp4,2160,24,98.75421589583334
fr-041_debris_h265_2160p_crf30.mp4,2160,30,94.83971518124993
fr-041_debris_h265_2160p_crf36.mp4,2160,36,84.06934094583336
