video,resolution,crf,vmaf
Giftmord-SDR_8s_h265_360p_crf18.mp4,360,18,98.69832673541666
Giftmord-SDR_8s_h265_360p_crf24.mp4,360,24,97.47378478750007
Giftmord-SDR_8s_h265_360p_crf30.mp4,360,30,94.40168051458328
Giftmord-SDR_8s_h265_360p_crf36.mp4,360,36,87.42380383541668
Giftmord-SDR_8s_h265_720p_crf18.mp4,720,18,99.08654622708333
Giftmord-SDR_8s_h265_720p_crf24.mp4,720,24,97.76827327291666
Giftmord-SDR_8s_h265_720p_crf30.mp4,720,30,94.53782152083343
Giftmord-SDR_8s_h265_720p_crf36.mp4,720,36,87.93756031666666
Giftmord-SDR_8s_h265_1080p_crf18.mp4,1080,18,99.20374905624999
Giftmord-SDR_8s_h265_1080p_crf24.mp4,1080,24,97.74972801875
Giftmord-SDR_8s_h265_1080p_crf30.mp4,1080,30,94.30059889375012
Giftmord-SDR_8s_h265_1080p_crf36.mp4,1080,36,87.85658821458335
Giftmord-SDR_8s_h265_2160p_crf18.mp4,2160,18,99.40782977499998
Giftmord-SDR_8s_h265_2160p_crf24.mp4,2160,24,98.04278450833331
Giftmord-SDR_8s_h265_2160p_crf30.mp4,2160,30,93.59372147708324
Giftmord-SDR_8s_h265_2160p_crf36.mp4,2160,36,86.80700151666666
