video,resolution,crf,vmaf
water_netflix_h265_360p_crf18.mp4,360,18,98.79313563272122
water_netflix_h265_360p_crf24.mp4,360,24,96.14686660601006
water_netflix_h265_360p_crf30.mp4,360,30,87.4442521185309
water_netflix_h265_360p_crf36.mp4,360,36,72.0316630233722
water_netflix_h265_720p_crf18.mp4,720,18,99.12221866110183
water_netflix_h265_720p_crf24.mp4,720,24,96.37702767946573
water_netflix_h265_720p_crf30.mp4,720,30,86.96437065442409
water_netflix_h265_720p_crf36.mp4,720,36,69.74216444073461
water_netflix_h265_1080p_crf18.mp4,1080,18,99.69986194156925
water_netflix_h265_1080p_crf24.mp4,1080,24,97.27410790651086
water_netflix_h265_1080p_crf30.mp4,1080,30,88.77621186978294
water_netflix_h265_1080p_crf36.mp4,1080,36,71.63732673288814
water_netflix_h265_2160p_crf18.mp4,2160,18,99.99410516694492
water_netflix_h265_2160p_crf24.mp4,2160,24,98.81097515525879
water_netflix_h265_2160p_crf30.mp4,2160,30,91.46356916527549
water_netflix_h265_2160p_crf36.mp4,2160,36,74.12899918864775
