input_file,si,ti,n
bigbuck_bunny.mkv,26.843,8.256,1
bigbuck_bunny.mkv,26.707,9.24,2
bigbuck_bunny.mkv,26.598,9.529,3
bigbuck_bunny.mkv,26.628,8.732,4
bigbuck_bunny.mkv,26.822,8.16,5
bigbuck_bunny.mkv,27.156,7.207,6
bigbuck_bunny.mkv,27.052,6.397,7
bigbuck_bunny.mkv,26.948,6.887,8
bigbuck_bunny.mkv,26.962,7.958,9
bigbuck_bunny.mkv,27.245,9.322,10
bigbuck_bunny.mkv,27.51,7.532,11
bigbuck_bunny.mkv,27.486,6.962,12
bigbuck_bunny.mkv,27.334,6.791,13
bigbuck_bunny.mkv,27.199,6.409,14
bigbuck_bunny.mkv,27.019,7.713,15
bigbuck_bunny.mkv,26.904,7.16,16
bigbuck_bunny.mkv,26.937,5.799,17
bigbuck_bunny.mkv,27.144,5.624,18
bigbuck_bunny.mkv,27.182,4.539,19
bigbuck_bunny.mkv,27.095,3.94,20
bigbuck_bunny.mkv,27.079,5.54,21
bigbuck_bunny.mkv,27.193,7.195,22
bigbuck_bunny.mkv,27.537,7.474,23
bigbuck_bunny.mkv,27.657,5.837,24
bigbuck_bunny.mkv,27.681,5.95,25
bigbuck_bunny.mkv,27.401,5.805,26
bigbuck_bunny.mkv,27.418,7.105,27
bigbuck_bunny.mkv,27.063,7.253,28
bigbuck_bunny.mkv,26.969,5.686,29
bigbuck_bunny.mkv,27.032,5.063,30
bigbuck_bunny.mkv,27.119,4.472,31
bigbuck_bunny.mkv,27.113,3.492,32
bigbuck_bunny.mkv,27.134,3.687,33
bigbuck_bunny.mkv,27.188,5.336,34
bigbuck_bunny.mkv,27.476,8.017,35
bigbuck_bunny.mkv,27.905,7.212,36
bigbuck_bunny.mkv,27.956,6.412,37
bigbuck_bunny.mkv,27.813,6.749,38
bigbuck_bunny.mkv,27.601,5.731,39
bigbuck_bunny.mkv,27.416,7.735,40
bigbuck_bunny.mkv,26.923,6.88,41
bigbuck_bunny.mkv,26.918,4.861,42
bigbuck_bunny.mkv,26.984,4.488,43
bigbuck_bunny.mkv,27.001,3.916,44
bigbuck_bunny.mkv,27.041,3.691,45
bigbuck_bunny.mkv,27.051,3.521,46
bigbuck_bunny.mkv,27.176,3.739,47
bigbuck_bunny.mkv,27.235,4.446,48
bigbuck_bunny.mkv,27.223,5.391,49
bigbuck_bunny.mkv,27.471,7.739,50
bigbuck_bunny.mkv,27.918,8.226,51
bigbuck_bunny.mkv,27.935,7.611,52
bigbuck_bunny.mkv,27.707,8.042,53
bigbuck_bunny.mkv,27.375,7.516,54
bigbuck_bunny.mkv,26.951,10.041,55
bigbuck_bunny.mkv,26.584,7.046,56
bigbuck_bunny.mkv,26.615,6.183,57
bigbuck_bunny.mkv,26.693,5.938,58
bigbuck_bunny.mkv,26.759,5.509,59
bigbuck_bunny.mkv,26.819,5.194,60
bigbuck_bunny.mkv,26.917,5.188,61
bigbuck_bunny.mkv,27.092,5.846,62
bigbuck_bunny.mkv,27.221,5.742,63
bigbuck_bunny.mkv,27.311,5.656,64
bigbuck_bunny.mkv,27.428,6.071,65
bigbuck_bunny.mkv,27.544,6.523,66
bigbuck_bunny.mkv,27.639,6.638,67
