input_file,si,ti,n
cutting_orange.mkv,22.097,2.444,1
cutting_orange.mkv,22.023,2.446,2
cutting_orange.mkv,21.968,2.502,3
cutting_orange.mkv,21.867,2.704,4
cutting_orange.mkv,21.838,2.471,5
cutting_orange.mkv,21.802,2.176,6
cutting_orange.mkv,21.721,2.309,7
cutting_orange.mkv,21.662,2.978,8
cutting_orange.mkv,21.528,3.31,9
cutting_orange.mkv,21.378,3.665,10
cutting_orange.mkv,21.34,3.471,11
cutting_orange.mkv,21.311,3.543,12
cutting_orange.mkv,21.301,3.322,13
cutting_orange.mkv,21.351,2.359,14
cutting_orange.mkv,21.379,2.045,15
cutting_orange.mkv,21.385,4.081,16
cutting_orange.mkv,21.462,5.234,17
cutting_orange.mkv,21.552,6.464,18
cutting_orange.mkv,21.619,6.199,19
cutting_orange.mkv,21.753,4.669,20
cutting_orange.mkv,21.821,3.613,21
cutting_orange.mkv,21.837,3.393,22
cutting_orange.mkv,21.9,3.769,23
cutting_orange.mkv,21.918,4.423,24
cutting_orange.mkv,21.687,5.004,25
cutting_orange.mkv,21.434,5.32,26
cutting_orange.mkv,21.408,4.854,27
cutting_orange.mkv,21.356,5.217,28
cutting_orange.mkv,21.195,5.238,29
cutting_orange.mkv,20.99,6.069,30
cutting_orange.mkv,20.846,7.606,31
cutting_orange.mkv,20.949,7.141,32
cutting_orange.mkv,21.19,8.348,33
cutting_orange.mkv,21.219,8.73,34
cutting_orange.mkv,21.178,9.303,35
cutting_orange.mkv,21.186,9.848,36
cutting_orange.mkv,21.059,10.098,37
cutting_orange.mkv,21.015,9.594,38
cutting_orange.mkv,21.01,8.716,39
cutting_orange.mkv,20.968,9.114,40
cutting_orange.mkv,21.228,9.013,41
cutting_orange.mkv,21.447,9.126,42
cutting_orange.mkv,21.694,10.388,43
cutting_orange.mkv,22.186,8.849,44
cutting_orange.mkv,22.217,8.061,45
cutting_orange.mkv,22.205,6.737,46
cutting_orange.mkv,22.186,6.929,47
cutting_orange.mkv,22.235,5.815,48
cutting_orange.mkv,22.245,3.713,49
cutting_orange.mkv,21.889,4.485,50
cutting_orange.mkv,21.347,7.319,51
cutting_orange.mkv,20.765,7.866,52
cutting_orange.mkv,20.471,8.856,53
cutting_orange.mkv,20.627,8.923,54
cutting_orange.mkv,21.173,8.5,55
cutting_orange.mkv,21.724,7.635,56
cutting_orange.mkv,21.958,7.577,57
cutting_orange.mkv,21.794,8.291,58
cutting_orange.mkv,21.454,10.71,59
cutting_orange.mkv,20.487,12.425,60
cutting_orange.mkv,19.477,12.527,61
cutting_orange.mkv,20.177,12.848,62
cutting_orange.mkv,20.544,12.351,63
cutting_orange.mkv,20.809,9.691,64
cutting_orange.mkv,21.073,8.448,65
cutting_orange.mkv,21.434,8.291,66
cutting_orange.mkv,21.919,8.197,67
cutting_orange.mkv,22.184,8.432,68
cutting_orange.mkv,21.939,8.805,69
cutting_orange.mkv,21.595,8.467,70
cutting_orange.mkv,21.474,7.711,71
cutting_orange.mkv,21.373,7.019,72
cutting_orange.mkv,20.721,6.538,73
cutting_orange.mkv,20.621,6.161,74
cutting_orange.mkv,21.066,5.977,75
cutting_orange.mkv,20.359,5.041,76
cutting_orange.mkv,19.739,6.429,77
cutting_orange.mkv,20.057,6.171,78
cutting_orange.mkv,21.051,5.586,79
cutting_orange.mkv,21.567,4.234,80
cutting_orange.mkv,21.181,4.025,81
cutting_orange.mkv,21.192,3.883,82
cutting_orange.mkv,21.309,2.869,83
cutting_orange.mkv,21.144,3.217,84
cutting_orange.mkv,20.941,4.307,85
cutting_orange.mkv,20.953,4.745,86
cutting_orange.mkv,21.364,3.958,87
cutting_orange.mkv,21.23,3.168,88
cutting_orange.mkv,21.022,4.46,89
cutting_orange.mkv,21.527,4.669,90
cutting_orange.mkv,21.788,3.965,91
cutting_orange.mkv,22.096,2.563,92
cutting_orange.mkv,22.154,2.383,93
cutting_orange.mkv,22.203,1.529,94
cutting_orange.mkv,22.118,2.095,95
cutting_orange.mkv,22.211,2.13,96
cutting_orange.mkv,22.163,2.313,97
cutting_orange.mkv,22.119,2.622,98
cutting_orange.mkv,21.974,3.18,99
cutting_orange.mkv,21.673,3.779,100
cutting_orange.mkv,21.42,4.313,101
cutting_orange.mkv,21.574,4.419,102
cutting_orange.mkv,21.658,4.29,103
cutting_orange.mkv,21.752,4.101,104
cutting_orange.mkv,21.894,3.548,105
cutting_orange.mkv,21.923,2.993,106
cutting_orange.mkv,21.897,2.759,107
cutting_orange.mkv,22.037,2.467,108
cutting_orange.mkv,22.047,1.986,109
cutting_orange.mkv,21.99,2.286,110
cutting_orange.mkv,22.075,1.988,111
cutting_orange.mkv,22.032,1.858,112
cutting_orange.mkv,22.02,1.898,113
cutting_orange.mkv,22.036,1.885,114
cutting_orange.mkv,21.941,2.233,115
cutting_orange.mkv,21.888,2.777,116
cutting_orange.mkv,22.02,2.299,117
cutting_orange.mkv,21.919,2.587,118
cutting_orange.mkv,21.959,2.639,119
cutting_orange.mkv,22.065,1.75,120
cutting_orange.mkv,21.989,1.387,121
cutting_orange.mkv,22.054,1.99,122
cutting_orange.mkv,21.898,2.229,123
cutting_orange.mkv,21.817,2.498,124
cutting_orange.mkv,21.919,2.163,125
cutting_orange.mkv,22.036,1.469,126
cutting_orange.mkv,21.996,1.282,127
cutting_orange.mkv,21.941,1.659,128
cutting_orange.mkv,21.873,2.39,129
cutting_orange.mkv,21.875,2.779,130
cutting_orange.mkv,21.795,2.713,131
cutting_orange.mkv,21.727,3.07,132
cutting_orange.mkv,21.838,3.03,133
cutting_orange.mkv,21.921,2.705,134
cutting_orange.mkv,22.034,2.161,135
cutting_orange.mkv,22.024,1.758,136
cutting_orange.mkv,21.996,1.826,137
cutting_orange.mkv,21.974,1.742,138
cutting_orange.mkv,21.892,2.136,139
cutting_orange.mkv,21.812,2.632,140
cutting_orange.mkv,21.87,2.671,141
cutting_orange.mkv,21.923,2.108,142
cutting_orange.mkv,21.896,1.976,143
cutting_orange.mkv,21.913,2.105,144
cutting_orange.mkv,21.814,1.988,145
cutting_orange.mkv,21.597,2.926,146
cutting_orange.mkv,21.479,3.427,147
cutting_orange.mkv,21.276,3.701,148
cutting_orange.mkv,21.1,4.067,149
cutting_orange.mkv,21.445,4.008,150
cutting_orange.mkv,21.709,3.304,151
cutting_orange.mkv,21.743,2.872,152
cutting_orange.mkv,21.833,2.594,153
cutting_orange.mkv,21.787,2.748,154
cutting_orange.mkv,21.681,3.126,155
cutting_orange.mkv,21.695,3.178,156
cutting_orange.mkv,21.825,2.822,157
cutting_orange.mkv,21.888,2.221,158
cutting_orange.mkv,21.897,2.153,159
cutting_orange.mkv,21.89,2.028,160
cutting_orange.mkv,21.837,1.857,161
cutting_orange.mkv,21.904,1.731,162
cutting_orange.mkv,21.919,1.493,163
cutting_orange.mkv,21.873,1.63,164
cutting_orange.mkv,21.923,1.742,165
cutting_orange.mkv,21.882,1.676,166
cutting_orange.mkv,21.777,2.078,167
cutting_orange.mkv,21.76,2.832,168
cutting_orange.mkv,21.865,2.626,169
cutting_orange.mkv,21.868,2.381,170
cutting_orange.mkv,21.93,2.107,171
cutting_orange.mkv,21.921,2.086,172
