input_file,si,ti,n
dancers.mkv,10.598,2.427,1
dancers.mkv,10.559,2.431,2
dancers.mkv,10.549,2.429,3
dancers.mkv,10.543,2.428,4
dancers.mkv,10.559,2.428,5
dancers.mkv,10.532,2.426,6
dancers.mkv,10.528,2.426,7
dancers.mkv,10.547,2.425,8
dancers.mkv,10.541,2.426,9
dancers.mkv,10.548,2.422,10
dancers.mkv,10.546,2.42,11
dancers.mkv,10.538,2.423,12
dancers.mkv,10.498,2.426,13
dancers.mkv,10.525,2.425,14
dancers.mkv,10.556,2.429,15
dancers.mkv,10.541,2.431,16
dancers.mkv,10.536,2.429,17
dancers.mkv,10.527,2.425,18
dancers.mkv,10.556,2.428,19
dancers.mkv,10.511,2.424,20
dancers.mkv,10.514,2.422,21
dancers.mkv,10.531,2.424,22
dancers.mkv,10.538,2.421,23
dancers.mkv,10.516,2.424,24
dancers.mkv,10.553,2.428,25
dancers.mkv,10.552,2.427,26
dancers.mkv,10.557,2.426,27
dancers.mkv,10.581,2.425,28
dancers.mkv,10.553,2.423,29
dancers.mkv,10.572,2.426,30
dancers.mkv,10.571,2.431,31
dancers.mkv,10.555,2.428,32
dancers.mkv,10.575,2.425,33
dancers.mkv,10.568,2.428,34
dancers.mkv,10.547,2.429,35
dancers.mkv,10.559,2.426,36
dancers.mkv,10.562,2.424,37
dancers.mkv,10.563,2.424,38
dancers.mkv,10.574,2.425,39
dancers.mkv,10.572,2.429,40
dancers.mkv,10.565,2.431,41
dancers.mkv,10.548,2.428,42
dancers.mkv,10.555,2.429,43
dancers.mkv,10.536,2.426,44
dancers.mkv,10.515,2.421,45
dancers.mkv,10.575,2.427,46
dancers.mkv,10.556,2.434,47
dancers.mkv,10.577,2.436,48
dancers.mkv,10.575,2.441,49
dancers.mkv,10.563,2.445,50
dancers.mkv,10.603,2.454,51
dancers.mkv,10.576,2.47,52
dancers.mkv,10.571,2.486,53
dancers.mkv,10.523,2.497,54
dancers.mkv,10.566,2.52,55
dancers.mkv,10.562,2.534,56
dancers.mkv,10.574,2.544,57
dancers.mkv,10.544,2.551,58
dancers.mkv,10.589,2.565,59
dancers.mkv,10.585,2.583,60
dancers.mkv,10.579,2.599,61
dancers.mkv,10.579,2.62,62
dancers.mkv,10.579,2.637,63
dancers.mkv,10.57,2.656,64
dancers.mkv,10.603,2.673,65
dancers.mkv,10.6,2.708,66
dancers.mkv,10.622,2.756,67
dancers.mkv,10.631,2.813,68
dancers.mkv,10.639,2.865,69
dancers.mkv,10.676,2.948,70
dancers.mkv,10.684,3.061,71
dancers.mkv,10.746,3.123,72
dancers.mkv,10.758,3.17,73
dancers.mkv,10.789,3.228,74
dancers.mkv,10.784,3.283,75
dancers.mkv,10.817,3.323,76
dancers.mkv,10.792,3.372,77
dancers.mkv,10.818,3.416,78
dancers.mkv,10.841,3.452,79
dancers.mkv,10.831,3.485,80
dancers.mkv,10.849,3.508,81
dancers.mkv,10.885,3.545,82
dancers.mkv,10.895,3.599,83
dancers.mkv,10.918,3.628,84
dancers.mkv,10.925,3.685,85
dancers.mkv,10.963,3.743,86
dancers.mkv,10.913,3.802,87
dancers.mkv,10.924,3.857,88
dancers.mkv,10.935,3.916,89
dancers.mkv,10.937,3.961,90
dancers.mkv,10.928,4.014,91
dancers.mkv,10.911,4.076,92
dancers.mkv,10.926,4.142,93
dancers.mkv,10.942,4.182,94
dancers.mkv,10.915,4.211,95
dancers.mkv,10.869,4.204,96
dancers.mkv,10.852,4.203,97
dancers.mkv,10.849,4.216,98
dancers.mkv,10.864,4.232,99
dancers.mkv,10.845,4.284,100
dancers.mkv,10.811,4.393,101
dancers.mkv,10.764,4.527,102
dancers.mkv,10.747,4.686,103
dancers.mkv,10.633,4.695,104
dancers.mkv,10.607,4.751,105
dancers.mkv,10.602,4.888,106
dancers.mkv,10.629,5.024,107
dancers.mkv,10.609,5.137,108
dancers.mkv,10.681,5.263,109
dancers.mkv,10.65,5.515,110
dancers.mkv,10.648,5.699,111
dancers.mkv,10.643,5.859,112
dancers.mkv,10.617,6.021,113
dancers.mkv,10.634,6.175,114
dancers.mkv,10.621,6.308,115
dancers.mkv,10.616,6.428,116
dancers.mkv,10.629,6.494,117
dancers.mkv,10.621,6.507,118
dancers.mkv,10.676,6.527,119
dancers.mkv,10.691,6.521,120
dancers.mkv,10.712,6.473,121
dancers.mkv,10.751,6.39,122
dancers.mkv,10.806,6.264,123
dancers.mkv,10.831,6.148,124
dancers.mkv,10.885,6.027,125
dancers.mkv,10.919,5.931,126
dancers.mkv,10.976,5.852,127
dancers.mkv,11.01,5.776,128
dancers.mkv,11.075,5.745,129
dancers.mkv,11.112,5.755,130
dancers.mkv,11.13,5.703,131
dancers.mkv,11.133,5.655,132
dancers.mkv,11.156,5.675,133
dancers.mkv,11.201,5.703,134
dancers.mkv,11.284,5.798,135
dancers.mkv,11.317,5.855,136
dancers.mkv,11.332,5.868,137
dancers.mkv,11.347,5.828,138
dancers.mkv,11.411,5.765,139
dancers.mkv,11.455,5.719,140
dancers.mkv,11.506,5.665,141
dancers.mkv,11.567,5.64,142
dancers.mkv,11.653,5.574,143
dancers.mkv,11.69,5.484,144
dancers.mkv,11.754,5.412,145
dancers.mkv,11.801,5.391,146
dancers.mkv,11.82,5.384,147
