input_file,si,ti,n
daydreamer.mkv,14.138,4.021,1
daydreamer.mkv,14.239,3.958,2
daydreamer.mkv,14.485,3.747,3
daydreamer.mkv,14.496,3.598,4
daydreamer.mkv,14.399,3.707,5
daydreamer.mkv,14.316,3.852,6
daydreamer.mkv,14.278,3.942,7
daydreamer.mkv,14.307,3.944,8
daydreamer.mkv,14.32,3.919,9
daydreamer.mkv,14.233,3.982,10
daydreamer.mkv,14.071,4.112,11
daydreamer.mkv,14.003,4.235,12
daydreamer.mkv,13.965,4.292,13
daydreamer.mkv,13.919,4.297,14
daydreamer.mkv,13.987,4.265,15
daydreamer.mkv,14.087,4.173,16
daydreamer.mkv,14.231,4.047,17
daydreamer.mkv,14.415,3.853,18
daydreamer.mkv,14.49,3.66,19
daydreamer.mkv,14.458,3.632,20
daydreamer.mkv,14.443,3.686,21
daydreamer.mkv,14.411,3.755,22
daydreamer.mkv,14.337,3.797,23
daydreamer.mkv,14.332,3.836,24
daydreamer.mkv,14.271,3.855,25
daydreamer.mkv,14.135,3.935,26
daydreamer.mkv,14.058,4.027,27
daydreamer.mkv,14.052,4.072,28
daydreamer.mkv,14.107,4.084,29
daydreamer.mkv,14.278,4.037,30
daydreamer.mkv,14.494,3.857,31
daydreamer.mkv,14.563,3.647,32
daydreamer.mkv,14.468,3.731,33
daydreamer.mkv,14.366,3.901,34
daydreamer.mkv,14.409,3.92,35
daydreamer.mkv,14.477,3.865,36
daydreamer.mkv,14.461,3.867,37
daydreamer.mkv,14.368,3.946,38
daydreamer.mkv,14.281,4.062,39
daydreamer.mkv,14.229,4.178,40
daydreamer.mkv,14.232,4.205,41
daydreamer.mkv,14.399,4.087,42
daydreamer.mkv,14.559,3.867,43
daydreamer.mkv,14.607,3.694,44
daydreamer.mkv,14.557,3.679,45
daydreamer.mkv,14.474,3.814,46
daydreamer.mkv,14.4,3.916,47
daydreamer.mkv,14.376,3.982,48
daydreamer.mkv,14.273,4.075,49
daydreamer.mkv,14.16,4.192,50
daydreamer.mkv,14.114,4.278,51
daydreamer.mkv,14.162,4.282,52
daydreamer.mkv,14.267,4.177,53
daydreamer.mkv,14.498,4.007,54
daydreamer.mkv,14.599,3.789,55
daydreamer.mkv,14.61,3.632,56
daydreamer.mkv,14.57,3.596,57
daydreamer.mkv,14.481,3.678,58
daydreamer.mkv,14.321,3.823,59
daydreamer.mkv,14.115,4.014,60
daydreamer.mkv,13.999,4.199,61
daydreamer.mkv,13.941,4.284,62
daydreamer.mkv,13.979,4.282,63
daydreamer.mkv,14.079,4.24,64
daydreamer.mkv,14.189,4.155,65
daydreamer.mkv,14.35,4.034,66
daydreamer.mkv,14.518,3.887,67
daydreamer.mkv,14.654,3.698,68
daydreamer.mkv,14.745,3.535,69
daydreamer.mkv,14.772,3.504,70
daydreamer.mkv,14.726,3.518,71
daydreamer.mkv,14.69,3.56,72
daydreamer.mkv,14.61,3.635,73
daydreamer.mkv,14.466,3.786,74
daydreamer.mkv,14.317,3.961,75
daydreamer.mkv,14.284,4.047,76
daydreamer.mkv,14.258,4.07,77
daydreamer.mkv,14.357,4.068,78
daydreamer.mkv,14.551,3.942,79
daydreamer.mkv,14.738,3.7,80
daydreamer.mkv,14.787,3.54,81
daydreamer.mkv,14.617,3.643,82
daydreamer.mkv,14.468,3.89,83
daydreamer.mkv,14.394,4.039,84
daydreamer.mkv,14.451,4.095,85
daydreamer.mkv,14.468,4.104,86
daydreamer.mkv,14.471,4.153,87
daydreamer.mkv,14.565,4.155,88
daydreamer.mkv,14.523,4.112,89
daydreamer.mkv,14.5,4.106,90
daydreamer.mkv,14.519,4.099,91
daydreamer.mkv,14.502,4.059,92
daydreamer.mkv,14.562,3.999,93
daydreamer.mkv,14.612,3.964,94
daydreamer.mkv,14.738,3.88,95
daydreamer.mkv,14.931,3.684,96
daydreamer.mkv,15.014,3.506,97
daydreamer.mkv,14.789,3.619,98
daydreamer.mkv,14.558,3.945,99
daydreamer.mkv,14.549,4.071,100
daydreamer.mkv,14.608,4.033,101
daydreamer.mkv,14.743,3.928,102
daydreamer.mkv,14.815,3.837,103
daydreamer.mkv,14.803,3.842,104
daydreamer.mkv,14.903,3.832,105
daydreamer.mkv,14.935,3.792,106
daydreamer.mkv,14.954,3.813,107
daydreamer.mkv,14.986,3.841,108
daydreamer.mkv,15.118,3.795,109
daydreamer.mkv,15.305,3.635,110
daydreamer.mkv,15.337,3.497,111
daydreamer.mkv,15.258,3.593,112
daydreamer.mkv,15.215,3.732,113
daydreamer.mkv,15.24,3.773,114
daydreamer.mkv,15.284,3.776,115
daydreamer.mkv,15.391,3.737,116
daydreamer.mkv,15.502,3.639,117
daydreamer.mkv,15.593,3.585,118
daydreamer.mkv,15.577,3.576,119
daydreamer.mkv,15.609,3.663,120
daydreamer.mkv,15.68,3.698,121
daydreamer.mkv,15.82,3.654,122
daydreamer.mkv,15.966,3.565,123
daydreamer.mkv,15.967,3.524,124
daydreamer.mkv,15.81,3.743,125
daydreamer.mkv,15.832,3.978,126
daydreamer.mkv,16.036,3.899,127
daydreamer.mkv,16.168,3.724,128
daydreamer.mkv,16.263,3.645,129
daydreamer.mkv,16.345,3.643,130
daydreamer.mkv,16.393,3.689,131
daydreamer.mkv,16.529,3.686,132
daydreamer.mkv,16.604,3.691,133
daydreamer.mkv,16.558,3.82,134
daydreamer.mkv,16.499,4.074,135
daydreamer.mkv,16.577,4.228,136
daydreamer.mkv,16.683,4.247,137
daydreamer.mkv,16.873,4.219,138
daydreamer.mkv,17.278,4.002,139
daydreamer.mkv,17.582,3.499,140
daydreamer.mkv,17.655,3.432,141
daydreamer.mkv,17.572,3.613,142
daydreamer.mkv,17.473,3.972,143
daydreamer.mkv,17.569,4.143,144
daydreamer.mkv,17.525,4.242,145
daydreamer.mkv,17.435,4.496,146
daydreamer.mkv,17.467,4.69,147
daydreamer.mkv,17.692,4.655,148
daydreamer.mkv,18.011,4.459,149
daydreamer.mkv,18.324,4.202,150
daydreamer.mkv,18.576,3.958,151
daydreamer.mkv,18.804,3.701,152
daydreamer.mkv,19.049,3.408,153
daydreamer.mkv,18.896,3.525,154
daydreamer.mkv,18.472,4.255,155
daydreamer.mkv,18.093,4.95,156
daydreamer.mkv,18.103,5.262,157
daydreamer.mkv,18.465,5.208,158
daydreamer.mkv,19.014,4.889,159
daydreamer.mkv,19.236,4.661,160
daydreamer.mkv,19.409,4.659,161
daydreamer.mkv,19.764,4.527,162
daydreamer.mkv,20.032,4.317,163
daydreamer.mkv,20.273,4.175,164
daydreamer.mkv,20.646,3.88,165
daydreamer.mkv,20.921,3.52,166
daydreamer.mkv,21.121,3.387,167
daydreamer.mkv,21.312,3.367,168
daydreamer.mkv,21.41,3.394,169
daydreamer.mkv,21.55,3.489,170
daydreamer.mkv,21.718,3.538,171
daydreamer.mkv,21.773,3.669,172
daydreamer.mkv,21.921,3.802,173
daydreamer.mkv,22.038,3.841,174
daydreamer.mkv,21.764,4.424,175
daydreamer.mkv,21.549,5.097,176
daydreamer.mkv,21.366,5.501,177
daydreamer.mkv,21.416,5.703,178
daydreamer.mkv,21.751,5.616,179
daydreamer.mkv,22.196,5.265,180
daydreamer.mkv,22.511,4.847,181
daydreamer.mkv,22.717,4.605,182
daydreamer.mkv,22.815,4.439,183
daydreamer.mkv,22.754,4.611,184
daydreamer.mkv,22.66,4.806,185
daydreamer.mkv,22.672,5.022,186
daydreamer.mkv,22.865,4.972,187
daydreamer.mkv,22.998,4.767,188
daydreamer.mkv,22.971,4.689,189
daydreamer.mkv,22.813,4.962,190
daydreamer.mkv,23.118,4.92,191
daydreamer.mkv,23.416,4.33,192
daydreamer.mkv,23.484,4.027,193
daydreamer.mkv,23.521,4.036,194
daydreamer.mkv,23.599,4.041,195
daydreamer.mkv,23.601,3.9,196
daydreamer.mkv,23.058,4.355,197
daydreamer.mkv,22.23,5.54,198
daydreamer.mkv,22.037,6.148,199
daydreamer.mkv,22.66,5.927,200
daydreamer.mkv,23.254,5.126,201
daydreamer.mkv,23.693,4.415,202
daydreamer.mkv,23.932,3.516,203
daydreamer.mkv,23.369,4.032,204
daydreamer.mkv,22.494,5.424,205
daydreamer.mkv,22.247,6.11,206
daydreamer.mkv,23.07,5.772,207
daydreamer.mkv,24.113,4.255,208
daydreamer.mkv,24.272,2.558,209
daydreamer.mkv,23.679,3.528,210
daydreamer.mkv,23.099,4.934,211
daydreamer.mkv,22.609,5.597,212
daydreamer.mkv,22.227,6.053,213
daydreamer.mkv,22.204,6.179,214
daydreamer.mkv,22.483,6.064,215
daydreamer.mkv,22.952,5.765,216
daydreamer.mkv,23.526,5.151,217
daydreamer.mkv,24.025,4.407,218
daydreamer.mkv,24.399,3.487,219
daydreamer.mkv,24.556,2.723,220
daydreamer.mkv,24.618,2.232,221
daydreamer.mkv,24.484,2.277,222
daydreamer.mkv,23.994,3.361,223
daydreamer.mkv,23.59,4.385,224
daydreamer.mkv,23.638,4.679,225
daydreamer.mkv,23.821,4.42,226
daydreamer.mkv,23.899,4.147,227
daydreamer.mkv,24.278,3.601,228
daydreamer.mkv,24.553,2.141,229
daydreamer.mkv,23.941,2.695,230
daydreamer.mkv,23.262,4.441,231
daydreamer.mkv,22.802,5.226,232
daydreamer.mkv,22.205,5.718,233
daydreamer.mkv,21.781,6.161,234
daydreamer.mkv,22.047,6.202,235
daydreamer.mkv,22.683,5.803,236
daydreamer.mkv,23.132,5.145,237
daydreamer.mkv,23.342,4.7,238
daydreamer.mkv,23.14,4.704,239
daydreamer.mkv,23.019,4.993,240
daydreamer.mkv,23.504,4.685,241
daydreamer.mkv,24.127,3.418,242
daydreamer.mkv,24.237,1.961,243
daydreamer.mkv,23.967,2.817,244
daydreamer.mkv,23.816,3.692,245
daydreamer.mkv,23.721,4.005,246
daydreamer.mkv,23.431,4.565,247
daydreamer.mkv,23.351,4.964,248
daydreamer.mkv,23.325,5.039,249
daydreamer.mkv,23.029,5.213,250
daydreamer.mkv,23.195,5.383,251
daydreamer.mkv,23.858,4.904,252
daydreamer.mkv,24.334,3.979,253
daydreamer.mkv,24.597,3.054,254
daydreamer.mkv,24.058,3.226,255
daydreamer.mkv,22.838,5.194,256
daydreamer.mkv,22.006,6.259,257
daydreamer.mkv,21.889,6.61,258
daydreamer.mkv,22.63,6.371,259
daydreamer.mkv,23.3,5.741,260
daydreamer.mkv,23.425,5.463,261
daydreamer.mkv,23.722,5.408,262
daydreamer.mkv,24.507,4.704,263
daydreamer.mkv,25.07,3.188,264
daydreamer.mkv,24.455,3.093,265
daydreamer.mkv,23.694,4.955,266
daydreamer.mkv,23.854,5.338,267
daydreamer.mkv,24.326,4.936,268
daydreamer.mkv,24.589,4.443,269
daydreamer.mkv,24.654,4.27,270
daydreamer.mkv,24.501,4.375,271
daydreamer.mkv,24.244,4.881,272
daydreamer.mkv,24.402,5.005,273
daydreamer.mkv,24.773,4.572,274
daydreamer.mkv,25.313,3.523,275
daydreamer.mkv,25.397,2.316,276
daydreamer.mkv,24.745,3.641,277
daydreamer.mkv,24.685,4.696,278
daydreamer.mkv,25.132,4.421,279
daydreamer.mkv,25.435,3.921,280
daydreamer.mkv,25.619,3.649,281
daydreamer.mkv,25.85,3.378,282
daydreamer.mkv,26.098,3.128,283
daydreamer.mkv,26.237,2.954,284
daydreamer.mkv,26.401,2.776,285
daydreamer.mkv,26.499,2.901,286
daydreamer.mkv,26.615,2.949,287
daydreamer.mkv,26.604,2.931,288
daydreamer.mkv,26.48,3.442,289
