input_file,si,ti,n
debris.mkv,94.163,23.043,1
debris.mkv,94.233,22.711,2
debris.mkv,94.522,24.124,3
debris.mkv,94.602,23.754,4
debris.mkv,94.626,23.455,5
debris.mkv,94.986,24.469,6
debris.mkv,95.461,24.344,7
debris.mkv,95.584,23.448,8
debris.mkv,96.389,24.649,9
debris.mkv,97.001,24.341,10
debris.mkv,97.728,23.593,11
debris.mkv,99.319,24.991,12
debris.mkv,100.613,24.639,13
debris.mkv,101.701,24.151,14
debris.mkv,103.138,25.668,15
debris.mkv,104.067,24.977,16
debris.mkv,104.943,24.293,17
debris.mkv,105.987,25.568,18
debris.mkv,106.434,24.929,19
debris.mkv,106.881,24.017,20
debris.mkv,107.364,25.139,21
debris.mkv,107.661,24.375,22
debris.mkv,108.006,23.534,23
debris.mkv,108.36,24.694,24
debris.mkv,108.633,24.012,25
debris.mkv,108.942,23.355,26
debris.mkv,108.985,24.4,27
debris.mkv,109.175,23.635,28
debris.mkv,109.163,22.958,29
debris.mkv,109.637,24.126,30
debris.mkv,109.917,23.438,31
debris.mkv,110.106,22.86,32
debris.mkv,110.057,24.312,33
debris.mkv,110.233,23.669,34
debris.mkv,110.397,22.981,35
debris.mkv,110.827,24.178,36
debris.mkv,111.029,23.707,37
debris.mkv,111.401,23.252,38
debris.mkv,111.712,24.573,39
debris.mkv,111.915,23.973,40
debris.mkv,112.002,23.363,41
debris.mkv,112.006,24.726,42
debris.mkv,112.39,24.17,43
debris.mkv,112.364,23.832,44
debris.mkv,112.385,25.031,45
debris.mkv,112.426,24.199,46
debris.mkv,112.647,23.582,47
debris.mkv,112.777,25.057,48
debris.mkv,113.046,24.401,49
debris.mkv,113.186,23.688,50
debris.mkv,113.301,24.916,51
debris.mkv,113.648,24.345,52
debris.mkv,114.135,23.677,53
debris.mkv,114.266,25.298,54
debris.mkv,114.415,24.429,55
debris.mkv,114.675,24.011,56
debris.mkv,114.67,25.227,57
debris.mkv,114.809,24.439,58
debris.mkv,114.814,23.796,59
debris.mkv,114.827,25.374,60
debris.mkv,114.64,24.705,61
debris.mkv,114.691,24.038,62
debris.mkv,114.684,25.345,63
debris.mkv,114.947,24.872,64
debris.mkv,114.7,24.204,65
debris.mkv,114.602,25.587,66
debris.mkv,114.458,25.011,67
debris.mkv,114.482,24.414,68
debris.mkv,114.384,25.936,69
debris.mkv,113.989,25.235,70
debris.mkv,114.062,24.553,71
debris.mkv,113.714,26.335,72
debris.mkv,113.752,26.196,73
debris.mkv,113.872,27.09,74
debris.mkv,114.15,30.039,75
debris.mkv,114.274,30.991,76
debris.mkv,114.154,31.447,77
debris.mkv,114.457,34.01,78
debris.mkv,114.62,34.573,79
debris.mkv,115.051,34.678,80
debris.mkv,115.19,36.703,81
debris.mkv,115.418,36.994,82
debris.mkv,115.95,36.976,83
debris.mkv,116.366,39.136,84
debris.mkv,116.215,39.258,85
debris.mkv,116.161,38.7,86
debris.mkv,116.728,39.935,87
debris.mkv,117.005,39.862,88
debris.mkv,117.059,39.63,89
debris.mkv,117.197,40.752,90
debris.mkv,117.285,40.542,91
debris.mkv,117.674,40.231,92
debris.mkv,117.759,41.261,93
debris.mkv,117.746,41.146,94
debris.mkv,118.237,40.534,95
debris.mkv,118.594,41.557,96
debris.mkv,118.865,41.139,97
debris.mkv,118.979,40.579,98
debris.mkv,118.767,41.332,99
debris.mkv,119.087,40.737,100
debris.mkv,119.604,40.259,101
debris.mkv,120.018,41.019,102
debris.mkv,120.254,40.184,103
debris.mkv,120.329,39.057,104
debris.mkv,120.648,39.732,105
debris.mkv,120.684,38.372,106
debris.mkv,120.621,36.598,107
debris.mkv,120.87,36.789,108
debris.mkv,121.448,34.806,109
debris.mkv,122.022,33.46,110
debris.mkv,122.302,34.229,111
debris.mkv,122.258,32.771,112
debris.mkv,122.482,31.081,113
debris.mkv,122.57,31.731,114
debris.mkv,122.224,30.546,115
debris.mkv,122.251,28.891,116
debris.mkv,122.446,29.946,117
debris.mkv,122.549,28.695,118
debris.mkv,122.611,27.332,119
debris.mkv,122.423,28.781,120
debris.mkv,122.156,27.849,121
debris.mkv,122.201,27.205,122
debris.mkv,122.222,28.846,123
debris.mkv,122.392,28.497,124
debris.mkv,122.265,27.961,125
debris.mkv,122.186,29.597,126
debris.mkv,122.532,29.557,127
debris.mkv,122.457,29.428,128
debris.mkv,122.808,31.194,129
debris.mkv,122.863,31.319,130
debris.mkv,122.608,30.742,131
debris.mkv,122.784,32.567,132
debris.mkv,122.755,32.538,133
debris.mkv,122.259,32.175,134
debris.mkv,122.257,33.964,135
debris.mkv,122.562,33.719,136
debris.mkv,122.45,33.29,137
debris.mkv,122.258,35.076,138
debris.mkv,122.446,34.37,139
debris.mkv,122.213,33.798,140
debris.mkv,122.257,35.442,141
debris.mkv,122.215,35.02,142
debris.mkv,122.224,34.176,143
debris.mkv,122.161,35.378,144
debris.mkv,121.948,35.099,145
debris.mkv,121.587,33.912,146
debris.mkv,121.728,35.52,147
debris.mkv,121.668,35.118,148
debris.mkv,121.78,34.38,149
debris.mkv,121.863,36.149,150
debris.mkv,121.912,35.739,151
debris.mkv,121.774,35.038,152
debris.mkv,121.706,36.758,153
debris.mkv,121.867,36.298,154
debris.mkv,121.602,35.591,155
debris.mkv,121.411,37.212,156
debris.mkv,121.483,36.718,157
debris.mkv,121.316,36.068,158
debris.mkv,121.326,37.663,159
debris.mkv,121.684,37.247,160
debris.mkv,122.237,36.755,161
debris.mkv,122.812,38.584,162
debris.mkv,122.766,38.019,163
debris.mkv,122.798,37.443,164
debris.mkv,122.786,39.257,165
debris.mkv,123.117,38.883,166
debris.mkv,122.947,38.054,167
debris.mkv,122.92,39.451,168
debris.mkv,123.032,38.843,169
debris.mkv,123.217,38.165,170
debris.mkv,123.349,39.792,171
debris.mkv,123.275,39.188,172
debris.mkv,123.665,38.438,173
debris.mkv,123.88,39.972,174
debris.mkv,123.598,39.398,175
debris.mkv,124.281,38.647,176
debris.mkv,124.535,40.213,177
debris.mkv,124.652,39.524,178
debris.mkv,124.575,38.832,179
debris.mkv,124.464,40.151,180
debris.mkv,124.598,39.441,181
debris.mkv,52.938,55.003,182
debris.mkv,52.913,3.456,183
debris.mkv,52.886,3.395,184
debris.mkv,52.889,3.319,185
debris.mkv,52.909,3.702,186
debris.mkv,52.904,3.63,187
debris.mkv,52.871,3.551,188
debris.mkv,52.889,3.959,189
debris.mkv,52.888,3.918,190
debris.mkv,52.879,3.87,191
debris.mkv,52.896,4.375,192
debris.mkv,52.876,4.355,193
debris.mkv,52.897,4.347,194
debris.mkv,52.958,4.984,195
debris.mkv,52.937,5.007,196
debris.mkv,52.928,5.009,197
debris.mkv,52.963,5.725,198
debris.mkv,52.926,5.754,199
debris.mkv,52.977,5.743,200
debris.mkv,52.942,6.526,201
debris.mkv,52.927,6.539,202
debris.mkv,52.872,6.497,203
debris.mkv,52.949,7.276,204
debris.mkv,53.022,7.294,205
debris.mkv,53.021,7.22,206
debris.mkv,53.04,8.012,207
debris.mkv,53.084,7.949,208
debris.mkv,53.085,7.842,209
debris.mkv,53.128,8.627,210
debris.mkv,53.087,8.495,211
debris.mkv,53.05,8.325,212
debris.mkv,53.042,9.062,213
debris.mkv,53.088,8.887,214
debris.mkv,53.093,8.684,215
debris.mkv,53.134,9.404,216
debris.mkv,53.176,9.194,217
debris.mkv,53.162,8.942,218
debris.mkv,53.099,9.611,219
debris.mkv,53.145,9.352,220
debris.mkv,53.202,9.073,221
debris.mkv,53.277,9.727,222
debris.mkv,53.264,9.433,223
debris.mkv,53.259,9.111,224
debris.mkv,53.304,9.727,225
debris.mkv,53.278,9.408,226
debris.mkv,53.296,9.05,227
debris.mkv,53.28,9.611,228
debris.mkv,53.297,9.384,229
debris.mkv,53.399,8.941,230
debris.mkv,53.52,9.525,231
debris.mkv,53.525,9.198,232
debris.mkv,53.486,8.781,233
debris.mkv,53.661,9.295,234
debris.mkv,53.7,8.886,235
debris.mkv,53.74,8.44,236
debris.mkv,53.751,8.9,237
debris.mkv,53.759,8.465,238
debris.mkv,53.9,8.054,239
debris.mkv,53.821,8.523,240
debris.mkv,53.836,7.979,241
debris.mkv,53.869,7.495,242
debris.mkv,54.012,7.911,243
debris.mkv,54.034,7.466,244
debris.mkv,53.894,7.011,245
debris.mkv,53.96,7.288,246
debris.mkv,53.994,6.847,247
debris.mkv,54.078,6.504,248
debris.mkv,54.234,6.907,249
debris.mkv,54.349,6.631,250
debris.mkv,54.592,6.356,251
debris.mkv,54.759,6.879,252
debris.mkv,55.132,6.831,253
debris.mkv,55.427,6.573,254
debris.mkv,55.65,7.126,255
debris.mkv,55.835,6.935,256
debris.mkv,55.969,6.579,257
debris.mkv,56.143,6.949,258
debris.mkv,56.115,6.736,259
debris.mkv,56.174,6.491,260
debris.mkv,56.146,6.865,261
debris.mkv,56.121,6.691,262
debris.mkv,56.231,6.433,263
debris.mkv,56.28,6.807,264
debris.mkv,56.369,6.641,265
debris.mkv,56.547,6.615,266
debris.mkv,56.562,7.108,267
debris.mkv,56.635,6.97,268
debris.mkv,56.799,6.86,269
debris.mkv,57.02,7.444,270
debris.mkv,57.231,7.332,271
debris.mkv,57.427,7.291,272
debris.mkv,57.786,7.813,273
debris.mkv,57.998,7.879,274
debris.mkv,58.214,7.786,275
debris.mkv,58.576,8.402,276
debris.mkv,58.803,8.422,277
debris.mkv,58.931,8.313,278
debris.mkv,59.29,8.972,279
debris.mkv,59.542,8.971,280
debris.mkv,59.9,8.814,281
debris.mkv,60.237,9.564,282
debris.mkv,60.42,9.608,283
debris.mkv,60.725,9.466,284
debris.mkv,61.018,10.085,285
debris.mkv,61.241,9.979,286
debris.mkv,61.333,9.841,287
debris.mkv,61.402,10.428,288
debris.mkv,61.4,10.156,289
debris.mkv,61.723,10.008,290
debris.mkv,62.103,10.752,291
debris.mkv,62.41,10.674,292
debris.mkv,62.665,10.623,293
debris.mkv,63.028,11.467,294
debris.mkv,63.483,11.428,295
debris.mkv,63.848,11.377,296
debris.mkv,64.079,12.234,297
debris.mkv,64.348,12.068,298
debris.mkv,64.896,12.083,299
debris.mkv,65.118,13.061,300
debris.mkv,65.56,12.99,301
debris.mkv,65.771,12.92,302
debris.mkv,66.181,13.766,303
debris.mkv,66.656,13.567,304
debris.mkv,67.072,13.394,305
debris.mkv,67.307,14.255,306
debris.mkv,67.443,13.937,307
debris.mkv,68.056,13.83,308
debris.mkv,68.142,14.64,309
debris.mkv,68.553,14.347,310
debris.mkv,68.75,14.072,311
debris.mkv,69.255,14.984,312
debris.mkv,69.615,14.92,313
debris.mkv,69.792,14.733,314
debris.mkv,70.188,15.782,315
debris.mkv,70.244,15.689,316
debris.mkv,70.673,15.482,317
debris.mkv,71.083,16.604,318
debris.mkv,71.52,16.447,319
debris.mkv,72.149,16.473,320
debris.mkv,73.555,18.353,321
debris.mkv,73.846,18.011,322
debris.mkv,74.15,17.657,323
debris.mkv,74.463,18.748,324
debris.mkv,75.071,18.692,325
debris.mkv,75.845,18.517,326
debris.mkv,76.392,19.453,327
debris.mkv,76.938,19.397,328
debris.mkv,77.168,19.152,329
debris.mkv,77.557,20.159,330
debris.mkv,78.391,20.039,331
debris.mkv,79.174,19.759,332
debris.mkv,79.336,21.119,333
debris.mkv,79.836,20.879,334
debris.mkv,80.329,20.452,335
debris.mkv,80.862,21.518,336
debris.mkv,81.225,21.231,337
debris.mkv,81.915,21.008,338
debris.mkv,82.642,22.313,339
debris.mkv,83.557,22.392,340
debris.mkv,84.43,22.179,341
debris.mkv,84.825,23.438,342
debris.mkv,85.39,23.255,343
debris.mkv,85.885,22.827,344
debris.mkv,86.766,23.923,345
debris.mkv,87.301,23.583,346
debris.mkv,87.674,23.133,347
debris.mkv,88.213,24.302,348
debris.mkv,88.825,24.064,349
debris.mkv,89.497,23.771,350
debris.mkv,90.116,25.166,351
debris.mkv,90.811,25.013,352
debris.mkv,91.552,24.656,353
debris.mkv,92.426,26.027,354
debris.mkv,93.394,25.725,355
debris.mkv,94.382,25.569,356
debris.mkv,94.893,26.929,357
debris.mkv,95.679,26.683,358
debris.mkv,96.179,26.45,359
debris.mkv,97.4,27.828,360
debris.mkv,97.934,27.66,361
debris.mkv,98.462,27.325,362
debris.mkv,98.987,28.867,363
debris.mkv,99.712,28.601,364
debris.mkv,100.321,28.293,365
debris.mkv,101.044,29.853,366
debris.mkv,101.028,29.389,367
debris.mkv,101.649,29.069,368
debris.mkv,102.166,30.676,369
debris.mkv,102.77,30.425,370
debris.mkv,102.97,30.045,371
debris.mkv,103.494,31.654,372
debris.mkv,103.825,31.309,373
debris.mkv,104.563,31.224,374
debris.mkv,105.129,32.469,375
debris.mkv,105.8,32.034,376
debris.mkv,106.166,31.615,377
debris.mkv,106.848,33.133,378
debris.mkv,107.161,32.732,379
debris.mkv,107.502,32.271,380
debris.mkv,107.736,33.809,381
debris.mkv,107.655,33.151,382
debris.mkv,107.76,32.513,383
debris.mkv,107.803,33.862,384
debris.mkv,107.511,33.2,385
debris.mkv,107.504,32.587,386
debris.mkv,107.735,34.057,387
debris.mkv,108.193,33.659,388
debris.mkv,108.848,33.292,389
debris.mkv,109.138,34.89,390
debris.mkv,109.078,34.424,391
debris.mkv,109.309,33.762,392
debris.mkv,109.471,35.138,393
debris.mkv,109.451,34.582,394
debris.mkv,109.701,33.969,395
debris.mkv,109.892,35.433,396
debris.mkv,109.859,34.715,397
debris.mkv,109.971,34.029,398
debris.mkv,110.263,35.601,399
debris.mkv,110.296,35.126,400
debris.mkv,110.514,34.382,401
debris.mkv,110.851,35.902,402
debris.mkv,111.215,35.519,403
debris.mkv,111.846,34.986,404
debris.mkv,111.915,36.451,405
debris.mkv,111.851,35.998,406
debris.mkv,111.798,35.104,407
debris.mkv,112.004,36.555,408
debris.mkv,112.12,35.909,409
debris.mkv,112.1,35.17,410
debris.mkv,112.339,36.541,411
debris.mkv,112.081,36.018,412
debris.mkv,112.147,35.258,413
debris.mkv,112.904,36.659,414
debris.mkv,112.897,36.382,415
debris.mkv,112.515,35.736,416
debris.mkv,111.693,36.672,417
debris.mkv,111.35,35.681,418
debris.mkv,111.465,35.02,419
debris.mkv,111.2,36.164,420
debris.mkv,111.571,35.482,421
debris.mkv,111.959,34.967,422
debris.mkv,111.88,36.343,423
debris.mkv,112.217,35.724,424
debris.mkv,112.221,35.067,425
debris.mkv,112.221,36.441,426
debris.mkv,112.007,35.708,427
debris.mkv,111.844,35.021,428
debris.mkv,111.569,36.567,429
debris.mkv,111.563,35.854,430
debris.mkv,111.179,35.122,431
debris.mkv,110.724,36.319,432
debris.mkv,110.812,35.538,433
debris.mkv,110.73,34.852,434
debris.mkv,110.378,36.089,435
debris.mkv,110.326,35.406,436
debris.mkv,110.036,34.789,437
debris.mkv,109.943,36.26,438
debris.mkv,109.753,35.727,439
debris.mkv,109.215,34.914,440
debris.mkv,109.389,36.247,441
debris.mkv,109.45,35.713,442
debris.mkv,109.462,35.06,443
debris.mkv,109.489,36.399,444
debris.mkv,109.495,35.591,445
debris.mkv,109.472,34.889,446
debris.mkv,109.665,36.259,447
debris.mkv,109.521,35.702,448
debris.mkv,109.552,34.95,449
debris.mkv,109.854,36.263,450
debris.mkv,110.028,35.785,451
debris.mkv,109.714,34.939,452
debris.mkv,109.404,36.136,453
debris.mkv,109.049,35.212,454
debris.mkv,108.599,34.145,455
debris.mkv,108.608,35.3,456
debris.mkv,108.41,34.484,457
debris.mkv,108.594,33.82,458
debris.mkv,108.675,35.189,459
debris.mkv,108.903,34.574,460
debris.mkv,108.716,34.039,461
debris.mkv,108.824,35.295,462
debris.mkv,108.978,34.762,463
debris.mkv,108.936,34.289,464
debris.mkv,108.375,35.501,465
debris.mkv,107.986,34.769,466
debris.mkv,107.797,34.016,467
debris.mkv,107.389,35.139,468
debris.mkv,107.283,34.273,469
debris.mkv,107.131,33.407,470
debris.mkv,107.244,34.894,471
debris.mkv,107.091,34.323,472
debris.mkv,106.725,33.64,473
debris.mkv,106.879,35.207,474
debris.mkv,106.764,34.373,475
debris.mkv,106.534,33.744,476
debris.mkv,105.892,35.065,477
debris.mkv,105.635,34.448,478
debris.mkv,105.784,34.087,479
