input_file,si,ti,n
giftmord.mkv,21.052,1.869,1
giftmord.mkv,21.028,1.872,2
giftmord.mkv,21.034,1.901,3
giftmord.mkv,21.043,2.014,4
giftmord.mkv,21.025,2.073,5
giftmord.mkv,21.065,2.126,6
giftmord.mkv,21.084,2.245,7
giftmord.mkv,21.074,2.399,8
giftmord.mkv,21.105,2.497,9
giftmord.mkv,21.12,2.685,10
giftmord.mkv,21.126,3.08,11
giftmord.mkv,21.147,3.316,12
giftmord.mkv,21.149,3.473,13
giftmord.mkv,21.133,3.621,14
giftmord.mkv,21.149,3.594,15
giftmord.mkv,21.14,3.492,16
giftmord.mkv,21.135,3.385,17
giftmord.mkv,21.164,3.298,18
giftmord.mkv,21.18,3.2,19
giftmord.mkv,21.18,3.263,20
giftmord.mkv,21.221,3.32,21
giftmord.mkv,21.236,3.378,22
giftmord.mkv,21.254,3.429,23
giftmord.mkv,21.251,3.541,24
giftmord.mkv,21.271,3.643,25
giftmord.mkv,21.244,3.821,26
giftmord.mkv,21.287,4.002,27
giftmord.mkv,21.267,4.078,28
giftmord.mkv,21.289,4.209,29
giftmord.mkv,21.302,4.274,30
giftmord.mkv,21.317,4.33,31
giftmord.mkv,21.31,4.341,32
giftmord.mkv,21.346,4.346,33
giftmord.mkv,21.328,4.414,34
giftmord.mkv,21.339,4.444,35
giftmord.mkv,21.343,4.472,36
giftmord.mkv,21.358,4.612,37
giftmord.mkv,21.374,4.768,38
giftmord.mkv,21.419,5.025,39
giftmord.mkv,21.437,5.385,40
giftmord.mkv,21.427,5.523,41
giftmord.mkv,21.472,5.985,42
giftmord.mkv,21.459,6.295,43
giftmord.mkv,21.408,6.303,44
giftmord.mkv,21.386,6.256,45
giftmord.mkv,21.369,5.939,46
giftmord.mkv,21.365,5.819,47
giftmord.mkv,21.398,5.851,48
giftmord.mkv,21.351,5.93,49
giftmord.mkv,21.316,5.91,50
giftmord.mkv,21.347,5.943,51
giftmord.mkv,21.313,5.831,52
giftmord.mkv,21.29,5.498,53
giftmord.mkv,21.261,5.187,54
giftmord.mkv,21.271,5.094,55
giftmord.mkv,21.271,5.019,56
giftmord.mkv,21.277,5.059,57
giftmord.mkv,21.245,5.164,58
giftmord.mkv,21.22,5.33,59
giftmord.mkv,21.218,5.518,60
giftmord.mkv,21.196,5.649,61
giftmord.mkv,21.193,5.723,62
giftmord.mkv,21.212,5.883,63
giftmord.mkv,21.202,5.981,64
giftmord.mkv,21.205,6.082,65
giftmord.mkv,21.165,6.198,66
giftmord.mkv,21.151,6.256,67
giftmord.mkv,21.119,6.284,68
giftmord.mkv,21.101,6.341,69
giftmord.mkv,21.067,6.335,70
giftmord.mkv,21.061,6.308,71
giftmord.mkv,21.061,6.324,72
giftmord.mkv,21.058,6.339,73
giftmord.mkv,21.064,6.322,74
giftmord.mkv,21.093,6.349,75
giftmord.mkv,21.082,6.293,76
giftmord.mkv,21.059,6.257,77
giftmord.mkv,21.065,6.289,78
giftmord.mkv,21.103,6.342,79
giftmord.mkv,21.077,6.341,80
giftmord.mkv,21.107,6.4,81
giftmord.mkv,21.064,6.449,82
giftmord.mkv,21.029,6.553,83
giftmord.mkv,21.007,6.727,84
giftmord.mkv,20.996,6.852,85
giftmord.mkv,20.958,6.992,86
giftmord.mkv,21.003,7.157,87
giftmord.mkv,20.992,7.28,88
giftmord.mkv,20.988,7.474,89
giftmord.mkv,21.018,7.667,90
giftmord.mkv,21.014,7.84,91
giftmord.mkv,20.965,7.927,92
giftmord.mkv,20.976,8.092,93
giftmord.mkv,20.981,8.091,94
giftmord.mkv,20.905,8.253,95
giftmord.mkv,20.835,8.506,96
giftmord.mkv,20.766,8.809,97
giftmord.mkv,20.672,9.059,98
giftmord.mkv,20.519,9.469,99
giftmord.mkv,20.255,10.061,100
giftmord.mkv,20.003,10.664,101
giftmord.mkv,19.802,11.141,102
giftmord.mkv,19.668,11.415,103
giftmord.mkv,19.548,11.516,104
giftmord.mkv,19.654,11.474,105
giftmord.mkv,19.817,11.265,106
giftmord.mkv,19.866,11.098,107
giftmord.mkv,19.911,11.1,108
giftmord.mkv,19.85,11.173,109
giftmord.mkv,19.906,11.195,110
giftmord.mkv,19.97,11.137,111
giftmord.mkv,19.906,11.191,112
giftmord.mkv,19.731,11.261,113
giftmord.mkv,19.608,11.334,114
giftmord.mkv,19.51,11.331,115
giftmord.mkv,19.347,11.311,116
giftmord.mkv,19.237,11.32,117
giftmord.mkv,19.254,11.272,118
giftmord.mkv,19.276,11.266,119
giftmord.mkv,19.245,11.242,120
giftmord.mkv,19.165,11.17,121
giftmord.mkv,19.139,11.122,122
giftmord.mkv,19.083,11.257,123
giftmord.mkv,18.95,11.432,124
giftmord.mkv,18.68,11.67,125
giftmord.mkv,18.52,11.874,126
giftmord.mkv,18.488,11.998,127
giftmord.mkv,18.498,12.028,128
giftmord.mkv,18.621,12.037,129
giftmord.mkv,18.479,12.131,130
giftmord.mkv,18.287,12.232,131
giftmord.mkv,18.105,12.428,132
giftmord.mkv,17.9,12.552,133
giftmord.mkv,17.805,12.603,134
giftmord.mkv,17.837,12.563,135
giftmord.mkv,17.926,12.432,136
giftmord.mkv,18.079,12.277,137
giftmord.mkv,18.173,12.181,138
giftmord.mkv,18.186,12.057,139
giftmord.mkv,18.272,11.896,140
giftmord.mkv,18.277,11.826,141
giftmord.mkv,18.197,11.936,142
giftmord.mkv,18.069,12.016,143
giftmord.mkv,18.012,12.113,144
giftmord.mkv,17.996,12.181,145
giftmord.mkv,17.982,12.2,146
giftmord.mkv,18.019,12.289,147
giftmord.mkv,17.987,12.38,148
giftmord.mkv,17.889,12.51,149
giftmord.mkv,17.829,12.733,150
giftmord.mkv,17.761,12.947,151
giftmord.mkv,17.784,13.012,152
giftmord.mkv,17.833,13.132,153
giftmord.mkv,17.843,13.231,154
giftmord.mkv,17.777,13.333,155
giftmord.mkv,17.794,13.51,156
giftmord.mkv,17.693,13.692,157
giftmord.mkv,17.653,13.815,158
giftmord.mkv,17.687,13.86,159
giftmord.mkv,17.722,13.926,160
giftmord.mkv,17.747,13.931,161
giftmord.mkv,17.82,13.996,162
giftmord.mkv,17.936,14.153,163
giftmord.mkv,18.036,14.092,164
giftmord.mkv,18.166,14.141,165
giftmord.mkv,18.313,14.294,166
giftmord.mkv,18.186,14.204,167
giftmord.mkv,18.13,14.214,168
giftmord.mkv,17.97,14.238,169
giftmord.mkv,17.784,14.008,170
giftmord.mkv,17.784,13.848,171
giftmord.mkv,17.803,13.781,172
giftmord.mkv,17.777,13.823,173
giftmord.mkv,17.725,13.929,174
giftmord.mkv,17.672,14.004,175
giftmord.mkv,17.647,14.0,176
giftmord.mkv,17.643,14.073,177
giftmord.mkv,17.572,14.233,178
giftmord.mkv,17.531,14.34,179
giftmord.mkv,17.458,14.429,180
giftmord.mkv,17.424,14.505,181
giftmord.mkv,17.344,14.464,182
giftmord.mkv,17.267,14.539,183
giftmord.mkv,17.171,14.655,184
giftmord.mkv,17.096,14.742,185
giftmord.mkv,17.091,15.026,186
giftmord.mkv,17.007,15.403,187
giftmord.mkv,16.93,15.614,188
giftmord.mkv,16.91,15.614,189
giftmord.mkv,16.757,15.61,190
giftmord.mkv,16.654,15.638,191
giftmord.mkv,16.56,15.795,192
giftmord.mkv,16.501,15.882,193
giftmord.mkv,16.432,15.783,194
giftmord.mkv,16.368,15.223,195
giftmord.mkv,16.346,14.783,196
giftmord.mkv,16.366,14.564,197
giftmord.mkv,16.418,14.441,198
giftmord.mkv,16.546,14.313,199
giftmord.mkv,16.617,14.108,200
giftmord.mkv,16.76,14.083,201
giftmord.mkv,16.825,14.054,202
giftmord.mkv,16.873,14.014,203
giftmord.mkv,16.952,13.947,204
giftmord.mkv,16.884,14.023,205
giftmord.mkv,16.712,14.018,206
giftmord.mkv,16.562,14.093,207
giftmord.mkv,16.443,14.209,208
giftmord.mkv,16.286,14.243,209
giftmord.mkv,16.15,14.278,210
giftmord.mkv,15.987,14.363,211
giftmord.mkv,15.805,14.378,212
giftmord.mkv,15.684,14.321,213
giftmord.mkv,15.547,14.344,214
giftmord.mkv,15.387,14.291,215
giftmord.mkv,15.334,14.313,216
giftmord.mkv,15.298,14.352,217
giftmord.mkv,15.3,14.347,218
giftmord.mkv,15.357,14.273,219
giftmord.mkv,15.515,14.097,220
giftmord.mkv,15.53,13.875,221
giftmord.mkv,15.639,13.698,222
giftmord.mkv,15.644,13.493,223
giftmord.mkv,15.622,13.253,224
giftmord.mkv,15.809,13.07,225
giftmord.mkv,15.935,12.821,226
giftmord.mkv,15.947,12.557,227
giftmord.mkv,15.95,12.446,228
giftmord.mkv,15.891,12.367,229
giftmord.mkv,15.815,12.27,230
giftmord.mkv,15.871,12.23,231
giftmord.mkv,15.906,12.234,232
giftmord.mkv,15.788,12.206,233
giftmord.mkv,15.693,12.234,234
giftmord.mkv,15.534,12.276,235
giftmord.mkv,15.331,12.284,236
giftmord.mkv,15.193,12.326,237
giftmord.mkv,14.968,12.34,238
giftmord.mkv,14.8,12.17,239
giftmord.mkv,14.742,11.952,240
giftmord.mkv,14.636,11.811,241
giftmord.mkv,14.523,11.572,242
giftmord.mkv,14.453,11.422,243
giftmord.mkv,14.317,11.312,244
giftmord.mkv,14.156,11.101,245
giftmord.mkv,14.081,11.119,246
giftmord.mkv,13.983,11.178,247
giftmord.mkv,13.849,11.262,248
giftmord.mkv,13.672,11.346,249
giftmord.mkv,13.522,11.381,250
giftmord.mkv,13.402,11.456,251
giftmord.mkv,13.302,11.532,252
giftmord.mkv,13.281,11.445,253
giftmord.mkv,13.275,11.327,254
giftmord.mkv,13.22,10.957,255
giftmord.mkv,13.169,10.382,256
giftmord.mkv,13.139,9.986,257
giftmord.mkv,13.134,9.78,258
giftmord.mkv,13.162,9.737,259
giftmord.mkv,13.193,9.861,260
giftmord.mkv,13.252,9.981,261
giftmord.mkv,13.256,10.123,262
giftmord.mkv,13.288,10.157,263
giftmord.mkv,13.384,10.223,264
giftmord.mkv,13.43,10.221,265
giftmord.mkv,13.445,9.984,266
giftmord.mkv,13.405,9.69,267
giftmord.mkv,13.339,9.373,268
giftmord.mkv,13.356,9.055,269
giftmord.mkv,13.413,8.828,270
giftmord.mkv,13.507,8.823,271
giftmord.mkv,13.621,8.765,272
giftmord.mkv,13.82,8.716,273
giftmord.mkv,14.021,8.65,274
giftmord.mkv,14.197,8.643,275
giftmord.mkv,14.324,8.667,276
giftmord.mkv,14.469,8.721,277
giftmord.mkv,14.635,8.688,278
giftmord.mkv,14.782,8.719,279
giftmord.mkv,14.932,8.69,280
giftmord.mkv,15.106,8.495,281
giftmord.mkv,15.223,8.201,282
giftmord.mkv,15.317,7.947,283
giftmord.mkv,15.421,7.822,284
giftmord.mkv,15.516,7.781,285
giftmord.mkv,15.557,7.849,286
giftmord.mkv,15.585,7.951,287
giftmord.mkv,15.643,8.085,288
giftmord.mkv,15.674,8.25,289
giftmord.mkv,15.696,8.44,290
giftmord.mkv,15.702,8.64,291
giftmord.mkv,15.78,8.899,292
giftmord.mkv,15.82,9.251,293
giftmord.mkv,15.869,9.555,294
giftmord.mkv,15.944,9.829,295
giftmord.mkv,16.049,10.104,296
giftmord.mkv,16.232,10.338,297
giftmord.mkv,16.356,10.383,298
giftmord.mkv,16.463,10.317,299
giftmord.mkv,16.529,10.246,300
giftmord.mkv,16.523,10.214,301
giftmord.mkv,16.5,10.048,302
giftmord.mkv,16.496,10.002,303
giftmord.mkv,16.429,10.093,304
giftmord.mkv,16.33,10.207,305
giftmord.mkv,16.23,10.402,306
giftmord.mkv,16.09,10.625,307
giftmord.mkv,15.96,10.801,308
giftmord.mkv,15.878,10.928,309
giftmord.mkv,15.812,11.04,310
giftmord.mkv,15.748,11.195,311
giftmord.mkv,15.629,11.436,312
giftmord.mkv,15.477,11.752,313
giftmord.mkv,15.319,12.045,314
giftmord.mkv,15.277,12.204,315
giftmord.mkv,15.166,12.441,316
giftmord.mkv,15.087,12.61,317
giftmord.mkv,14.982,12.785,318
giftmord.mkv,14.801,13.028,319
giftmord.mkv,14.666,13.324,320
giftmord.mkv,14.582,13.562,321
giftmord.mkv,14.59,13.758,322
giftmord.mkv,14.575,13.932,323
giftmord.mkv,14.526,14.08,324
giftmord.mkv,14.518,14.233,325
giftmord.mkv,14.614,14.311,326
giftmord.mkv,14.683,14.247,327
giftmord.mkv,14.788,14.357,328
giftmord.mkv,14.862,14.39,329
giftmord.mkv,14.902,14.353,330
giftmord.mkv,15.029,14.334,331
giftmord.mkv,15.133,14.22,332
giftmord.mkv,15.331,13.937,333
giftmord.mkv,15.52,13.669,334
giftmord.mkv,15.724,13.351,335
giftmord.mkv,16.023,13.006,336
giftmord.mkv,16.276,12.672,337
giftmord.mkv,16.444,12.349,338
giftmord.mkv,16.572,12.019,339
giftmord.mkv,16.793,11.787,340
giftmord.mkv,16.858,11.509,341
giftmord.mkv,16.92,11.324,342
giftmord.mkv,16.956,11.162,343
giftmord.mkv,16.939,11.039,344
giftmord.mkv,16.93,10.862,345
giftmord.mkv,16.948,10.836,346
giftmord.mkv,16.894,10.946,347
giftmord.mkv,16.899,10.989,348
giftmord.mkv,16.808,11.019,349
giftmord.mkv,16.643,11.168,350
giftmord.mkv,16.498,11.351,351
giftmord.mkv,16.394,11.65,352
giftmord.mkv,16.191,12.0,353
giftmord.mkv,16.037,12.302,354
giftmord.mkv,15.937,12.543,355
giftmord.mkv,15.77,12.837,356
giftmord.mkv,15.64,13.029,357
giftmord.mkv,15.557,13.086,358
giftmord.mkv,15.411,13.052,359
giftmord.mkv,15.353,12.93,360
giftmord.mkv,15.281,12.83,361
giftmord.mkv,15.29,12.758,362
giftmord.mkv,15.274,12.753,363
giftmord.mkv,15.31,12.618,364
