input_file,si,ti,n
sparks_cut.mkv,61.769,23.858,1
sparks_cut.mkv,62.629,24.808,2
sparks_cut.mkv,55.913,22.767,3
sparks_cut.mkv,52.778,21.315,4
sparks_cut.mkv,51.001,20.831,5
sparks_cut.mkv,48.123,20.068,6
sparks_cut.mkv,46.42,19.075,7
sparks_cut.mkv,46.313,18.332,8
sparks_cut.mkv,46.838,18.562,9
sparks_cut.mkv,52.538,20.915,10
sparks_cut.mkv,51.038,20.628,11
sparks_cut.mkv,40.624,20.871,12
sparks_cut.mkv,36.943,15.215,13
sparks_cut.mkv,36.544,14.174,14
sparks_cut.mkv,45.797,19.173,15
sparks_cut.mkv,47.806,18.535,16
sparks_cut.mkv,39.436,19.413,17
sparks_cut.mkv,37.691,14.658,18
sparks_cut.mkv,37.015,14.021,19
sparks_cut.mkv,37.654,14.203,20
sparks_cut.mkv,47.6,21.777,21
sparks_cut.mkv,47.943,20.003,22
sparks_cut.mkv,41.286,18.795,23
sparks_cut.mkv,37.206,18.019,24
sparks_cut.mkv,37.458,15.689,25
sparks_cut.mkv,36.423,15.717,26
sparks_cut.mkv,45.054,20.872,27
sparks_cut.mkv,43.236,18.149,28
sparks_cut.mkv,40.279,16.904,29
sparks_cut.mkv,40.313,16.323,30
sparks_cut.mkv,38.202,15.715,31
sparks_cut.mkv,37.011,15.286,32
sparks_cut.mkv,36.698,14.534,33
sparks_cut.mkv,37.072,13.75,34
sparks_cut.mkv,35.94,13.356,35
sparks_cut.mkv,45.026,20.167,36
sparks_cut.mkv,44.584,17.455,37
sparks_cut.mkv,39.403,16.72,38
sparks_cut.mkv,37.108,14.45,39
sparks_cut.mkv,36.268,13.805,40
sparks_cut.mkv,35.642,13.773,41
sparks_cut.mkv,34.954,13.406,42
sparks_cut.mkv,42.471,18.158,43
sparks_cut.mkv,37.117,15.969,44
sparks_cut.mkv,34.145,13.376,45
sparks_cut.mkv,33.597,12.675,46
sparks_cut.mkv,34.676,12.351,47
sparks_cut.mkv,34.818,12.475,48
sparks_cut.mkv,33.603,12.581,49
sparks_cut.mkv,44.584,20.059,50
sparks_cut.mkv,41.742,16.668,51
sparks_cut.mkv,35.242,15.682,52
sparks_cut.mkv,32.518,13.394,53
sparks_cut.mkv,34.205,12.52,54
sparks_cut.mkv,34.156,12.54,55
sparks_cut.mkv,44.012,19.088,56
sparks_cut.mkv,42.734,17.345,57
sparks_cut.mkv,35.897,17.116,58
sparks_cut.mkv,33.658,13.633,59
sparks_cut.mkv,33.554,12.764,60
sparks_cut.mkv,41.729,17.53,61
sparks_cut.mkv,41.698,16.192,62
sparks_cut.mkv,35.249,16.424,63
sparks_cut.mkv,32.452,12.468,64
sparks_cut.mkv,30.904,11.458,65
sparks_cut.mkv,31.964,11.137,66
sparks_cut.mkv,32.362,11.821,67
sparks_cut.mkv,42.48,18.551,68
sparks_cut.mkv,37.707,15.46,69
sparks_cut.mkv,35.851,13.417,70
sparks_cut.mkv,36.202,13.138,71
sparks_cut.mkv,34.808,13.189,72
sparks_cut.mkv,38.169,13.712,73
