input_file,si,ti,n
vegetables.mkv,1.326,4.759,1
vegetables.mkv,1.787,5.099,2
vegetables.mkv,2.208,5.186,3
vegetables.mkv,2.627,5.087,4
vegetables.mkv,3.08,5.197,5
vegetables.mkv,3.497,5.223,6
vegetables.mkv,3.993,4.956,7
vegetables.mkv,4.465,5.092,8
vegetables.mkv,4.954,5.146,9
vegetables.mkv,5.463,5.121,10
vegetables.mkv,5.924,5.295,11
vegetables.mkv,6.23,5.214,12
vegetables.mkv,6.272,2.903,13
vegetables.mkv,6.285,3.315,14
vegetables.mkv,6.268,2.213,15
vegetables.mkv,6.285,2.295,16
vegetables.mkv,6.277,2.04,17
vegetables.mkv,6.279,3.874,18
vegetables.mkv,6.325,4.742,19
vegetables.mkv,6.373,4.275,20
vegetables.mkv,6.392,4.177,21
vegetables.mkv,6.534,2.831,22
vegetables.mkv,6.519,1.357,23
vegetables.mkv,6.507,1.745,24
vegetables.mkv,6.532,1.023,25
vegetables.mkv,6.527,0.95,26
vegetables.mkv,6.514,0.953,27
vegetables.mkv,6.541,0.961,28
vegetables.mkv,6.547,0.977,29
vegetables.mkv,6.54,0.999,30
vegetables.mkv,6.567,1.043,31
vegetables.mkv,6.568,1.215,32
vegetables.mkv,6.501,1.853,33
vegetables.mkv,6.531,2.225,34
vegetables.mkv,6.576,2.271,35
vegetables.mkv,6.599,2.279,36
vegetables.mkv,6.658,1.992,37
vegetables.mkv,6.767,1.223,38
vegetables.mkv,6.718,1.171,39
vegetables.mkv,6.722,2.304,40
vegetables.mkv,6.781,2.317,41
vegetables.mkv,6.785,1.789,42
vegetables.mkv,6.84,1.927,43
vegetables.mkv,6.893,2.258,44
vegetables.mkv,6.859,2.303,45
vegetables.mkv,6.846,2.155,46
vegetables.mkv,6.886,1.835,47
vegetables.mkv,6.934,1.357,48
vegetables.mkv,6.996,1.129,49
vegetables.mkv,6.997,1.123,50
vegetables.mkv,7.007,0.993,51
vegetables.mkv,6.994,1.077,52
vegetables.mkv,6.952,1.816,53
vegetables.mkv,7.011,1.922,54
vegetables.mkv,7.136,1.391,55
vegetables.mkv,7.059,1.638,56
vegetables.mkv,6.865,3.635,57
vegetables.mkv,6.818,5.358,58
vegetables.mkv,6.778,6.401,59
vegetables.mkv,6.816,6.746,60
vegetables.mkv,6.852,6.446,61
vegetables.mkv,7.01,6.227,62
vegetables.mkv,6.862,6.608,63
vegetables.mkv,6.716,8.647,64
vegetables.mkv,6.587,10.521,65
vegetables.mkv,6.524,12.061,66
vegetables.mkv,6.613,13.299,67
vegetables.mkv,6.774,13.468,68
vegetables.mkv,6.856,13.422,69
vegetables.mkv,7.371,14.863,70
vegetables.mkv,7.361,14.264,71
vegetables.mkv,8.308,13.441,72
vegetables.mkv,8.321,12.756,73
vegetables.mkv,8.616,12.528,74
vegetables.mkv,8.588,12.243,75
