input_file,si,ti,n
Daydreamer.mkv,14.138,4.021,1
Daydreamer.mkv,14.239,3.958,2
Daydreamer.mkv,14.485,3.747,3
Daydreamer.mkv,14.496,3.598,4
Daydreamer.mkv,14.399,3.707,5
Daydreamer.mkv,14.316,3.852,6
Daydreamer.mkv,14.278,3.942,7
Daydreamer.mkv,14.307,3.944,8
Daydreamer.mkv,14.32,3.919,9
Daydreamer.mkv,14.233,3.982,10
Daydreamer.mkv,14.071,4.112,11
Daydreamer.mkv,14.003,4.235,12
Daydreamer.mkv,13.965,4.292,13
Daydreamer.mkv,13.919,4.297,14
Daydreamer.mkv,13.987,4.265,15
Daydreamer.mkv,14.087,4.173,16
Daydreamer.mkv,14.231,4.047,17
Daydreamer.mkv,14.415,3.853,18
Daydreamer.mkv,14.49,3.66,19
Daydreamer.mkv,14.458,3.632,20
Daydreamer.mkv,14.443,3.686,21
Daydreamer.mkv,14.411,3.755,22
Daydreamer.mkv,14.337,3.797,23
Daydreamer.mkv,14.332,3.836,24
Daydreamer.mkv,14.271,3.855,25
Daydreamer.mkv,14.135,3.935,26
Daydreamer.mkv,14.058,4.027,27
Daydreamer.mkv,14.052,4.072,28
Daydreamer.mkv,14.107,4.084,29
Daydreamer.mkv,14.278,4.037,30
Daydreamer.mkv,14.494,3.857,31
Daydreamer.mkv,14.563,3.647,32
Daydreamer.mkv,14.468,3.731,33
Daydreamer.mkv,14.366,3.901,34
Daydreamer.mkv,14.409,3.92,35
Daydreamer.mkv,14.477,3.865,36
Daydreamer.mkv,14.461,3.867,37
Daydreamer.mkv,14.368,3.946,38
Daydreamer.mkv,14.281,4.062,39
Daydreamer.mkv,14.229,4.178,40
Daydreamer.mkv,14.232,4.205,41
Daydreamer.mkv,14.399,4.087,42
Daydreamer.mkv,14.559,3.867,43
Daydreamer.mkv,14.607,3.694,44
Daydreamer.mkv,14.557,3.679,45
Daydreamer.mkv,14.474,3.814,46
Daydreamer.mkv,14.4,3.916,47
Daydreamer.mkv,14.376,3.982,48
Daydreamer.mkv,14.273,4.075,49
Daydreamer.mkv,14.16,4.192,50
Daydreamer.mkv,14.114,4.278,51
Daydreamer.mkv,14.162,4.282,52
Daydreamer.mkv,14.267,4.177,53
Daydreamer.mkv,14.498,4.007,54
Daydreamer.mkv,14.599,3.789,55
Daydreamer.mkv,14.61,3.632,56
Daydreamer.mkv,14.57,3.596,57
Daydreamer.mkv,14.481,3.678,58
Daydreamer.mkv,14.321,3.823,59
Daydreamer.mkv,14.115,4.014,60
Daydreamer.mkv,13.999,4.199,61
Daydreamer.mkv,13.941,4.284,62
Daydreamer.mkv,13.979,4.282,63
Daydreamer.mkv,14.079,4.24,64
Daydreamer.mkv,14.189,4.155,65
Daydreamer.mkv,14.35,4.034,66
Daydreamer.mkv,14.518,3.887,67
Daydreamer.mkv,14.654,3.698,68
Daydreamer.mkv,14.745,3.535,69
Daydreamer.mkv,14.772,3.504,70
Daydreamer.mkv,14.726,3.518,71
Daydreamer.mkv,14.69,3.56,72
Daydreamer.mkv,14.61,3.635,73
Daydreamer.mkv,14.466,3.786,74
Daydreamer.mkv,14.317,3.961,75
Daydreamer.mkv,14.284,4.047,76
Daydreamer.mkv,14.258,4.07,77
Daydreamer.mkv,14.357,4.068,78
Daydreamer.mkv,14.551,3.942,79
Daydreamer.mkv,14.738,3.7,80
Daydreamer.mkv,14.787,3.54,81
Daydreamer.mkv,14.617,3.643,82
Daydreamer.mkv,14.468,3.89,83
Daydreamer.mkv,14.394,4.039,84
Daydreamer.mkv,14.451,4.095,85
Daydreamer.mkv,14.468,4.104,86
Daydreamer.mkv,14.471,4.153,87
Daydreamer.mkv,14.565,4.155,88
Daydreamer.mkv,14.523,4.112,89
Daydreamer.mkv,14.5,4.106,90
Daydreamer.mkv,14.519,4.099,91
Daydreamer.mkv,14.502,4.059,92
Daydreamer.mkv,14.562,3.999,93
Daydreamer.mkv,14.612,3.964,94
Daydreamer.mkv,14.738,3.88,95
Daydreamer.mkv,14.931,3.684,96
Daydreamer.mkv,15.014,3.506,97
Daydreamer.mkv,14.789,3.619,98
Daydreamer.mkv,14.558,3.945,99
Daydreamer.mkv,14.549,4.071,100
Daydreamer.mkv,14.608,4.033,101
Daydreamer.mkv,14.743,3.928,102
Daydreamer.mkv,14.815,3.837,103
Daydreamer.mkv,14.803,3.842,104
Daydreamer.mkv,14.903,3.832,105
Daydreamer.mkv,14.935,3.792,106
Daydreamer.mkv,14.954,3.813,107
Daydreamer.mkv,14.986,3.841,108
Daydreamer.mkv,15.118,3.795,109
Daydreamer.mkv,15.305,3.635,110
Daydreamer.mkv,15.337,3.497,111
Daydreamer.mkv,15.258,3.593,112
Daydreamer.mkv,15.215,3.732,113
Daydreamer.mkv,15.24,3.773,114
Daydreamer.mkv,15.284,3.776,115
Daydreamer.mkv,15.391,3.737,116
Daydreamer.mkv,15.502,3.639,117
Daydreamer.mkv,15.593,3.585,118
Daydreamer.mkv,15.577,3.576,119
Daydreamer.mkv,15.609,3.663,120
Daydreamer.mkv,15.68,3.698,121
Daydreamer.mkv,15.82,3.654,122
Daydreamer.mkv,15.966,3.565,123
Daydreamer.mkv,15.967,3.524,124
Daydreamer.mkv,15.81,3.743,125
Daydreamer.mkv,15.832,3.978,126
Daydreamer.mkv,16.036,3.899,127
Daydreamer.mkv,16.168,3.724,128
Daydreamer.mkv,16.263,3.645,129
Daydreamer.mkv,16.345,3.643,130
Daydreamer.mkv,16.393,3.689,131
Daydreamer.mkv,16.529,3.686,132
Daydreamer.mkv,16.604,3.691,133
Daydreamer.mkv,16.558,3.82,134
Daydreamer.mkv,16.499,4.074,135
Daydreamer.mkv,16.577,4.228,136
Daydreamer.mkv,16.683,4.247,137
Daydreamer.mkv,16.873,4.219,138
Daydreamer.mkv,17.278,4.002,139
Daydreamer.mkv,17.582,3.499,140
Daydreamer.mkv,17.655,3.432,141
Daydreamer.mkv,17.572,3.613,142
Daydreamer.mkv,17.473,3.972,143
Daydreamer.mkv,17.569,4.143,144
Daydreamer.mkv,17.525,4.242,145
Daydreamer.mkv,17.435,4.496,146
Daydreamer.mkv,17.467,4.69,147
Daydreamer.mkv,17.692,4.655,148
Daydreamer.mkv,18.011,4.459,149
Daydreamer.mkv,18.324,4.202,150
Daydreamer.mkv,18.576,3.958,151
Daydreamer.mkv,18.804,3.701,152
Daydreamer.mkv,19.049,3.408,153
Daydreamer.mkv,18.896,3.525,154
Daydreamer.mkv,18.472,4.255,155
Daydreamer.mkv,18.093,4.95,156
Daydreamer.mkv,18.103,5.262,157
Daydreamer.mkv,18.465,5.208,158
Daydreamer.mkv,19.014,4.889,159
Daydreamer.mkv,19.236,4.661,160
Daydreamer.mkv,19.409,4.659,161
Daydreamer.mkv,19.764,4.527,162
Daydreamer.mkv,20.032,4.317,163
Daydreamer.mkv,20.273,4.175,164
Daydreamer.mkv,20.646,3.88,165
Daydreamer.mkv,20.921,3.52,166
Daydreamer.mkv,21.121,3.387,167
Daydreamer.mkv,21.312,3.367,168
Daydreamer.mkv,21.41,3.394,169
Daydreamer.mkv,21.55,3.489,170
Daydreamer.mkv,21.718,3.538,171
Daydreamer.mkv,21.773,3.669,172
Daydreamer.mkv,21.921,3.802,173
Daydreamer.mkv,22.038,3.841,174
Daydreamer.mkv,21.764,4.424,175
Daydreamer.mkv,21.549,5.097,176
Daydreamer.mkv,21.366,5.501,177
Daydreamer.mkv,21.416,5.703,178
Daydreamer.mkv,21.751,5.616,179
Daydreamer.mkv,22.196,5.265,180
Daydreamer.mkv,22.511,4.847,181
Daydreamer.mkv,22.717,4.605,182
Daydreamer.mkv,22.815,4.439,183
Daydreamer.mkv,22.754,4.611,184
Daydreamer.mkv,22.66,4.806,185
Daydreamer.mkv,22.672,5.022,186
Daydreamer.mkv,22.865,4.972,187
Daydreamer.mkv,22.998,4.767,188
Daydreamer.mkv,22.971,4.689,189
Daydreamer.mkv,22.813,4.962,190
Daydreamer.mkv,23.118,4.92,191
Daydreamer.mkv,23.416,4.33,192
Daydreamer.mkv,23.484,4.027,193
Daydreamer.mkv,23.521,4.036,194
Daydreamer.mkv,23.599,4.041,195
Daydreamer.mkv,23.601,3.9,196
Daydreamer.mkv,23.058,4.355,197
Daydreamer.mkv,22.23,5.54,198
Daydreamer.mkv,22.037,6.148,199
Daydreamer.mkv,22.66,5.927,200
Daydreamer.mkv,23.254,5.126,201
Daydreamer.mkv,23.693,4.415,202
Daydreamer.mkv,23.932,3.516,203
Daydreamer.mkv,23.369,4.032,204
Daydreamer.mkv,22.494,5.424,205
Daydreamer.mkv,22.247,6.11,206
Daydreamer.mkv,23.07,5.772,207
Daydreamer.mkv,24.113,4.255,208
Daydreamer.mkv,24.272,2.558,209
Daydreamer.mkv,23.679,3.528,210
Daydreamer.mkv,23.099,4.934,211
Daydreamer.mkv,22.609,5.597,212
Daydreamer.mkv,22.227,6.053,213
Daydreamer.mkv,22.204,6.179,214
Daydreamer.mkv,22.483,6.064,215
Daydreamer.mkv,22.952,5.765,216
Daydreamer.mkv,23.526,5.151,217
Daydreamer.mkv,24.025,4.407,218
Daydreamer.mkv,24.399,3.487,219
Daydreamer.mkv,24.556,2.723,220
Daydreamer.mkv,24.618,2.232,221
Daydreamer.mkv,24.484,2.277,222
Daydreamer.mkv,23.994,3.361,223
Daydreamer.mkv,23.59,4.385,224
Daydreamer.mkv,23.638,4.679,225
Daydreamer.mkv,23.821,4.42,226
Daydreamer.mkv,23.899,4.147,227
Daydreamer.mkv,24.278,3.601,228
Daydreamer.mkv,24.553,2.141,229
Daydreamer.mkv,23.941,2.695,230
Daydreamer.mkv,23.262,4.441,231
Daydreamer.mkv,22.802,5.226,232
Daydreamer.mkv,22.205,5.718,233
Daydreamer.mkv,21.781,6.161,234
Daydreamer.mkv,22.047,6.202,235
Daydreamer.mkv,22.683,5.803,236
Daydreamer.mkv,23.132,5.145,237
Daydreamer.mkv,23.342,4.7,238
Daydreamer.mkv,23.14,4.704,239
Daydreamer.mkv,23.019,4.993,240
Daydreamer.mkv,23.504,4.685,241
Daydreamer.mkv,24.127,3.418,242
Daydreamer.mkv,24.237,1.961,243
Daydreamer.mkv,23.967,2.817,244
Daydreamer.mkv,23.816,3.692,245
Daydreamer.mkv,23.721,4.005,246
Daydreamer.mkv,23.431,4.565,247
Daydreamer.mkv,23.351,4.964,248
Daydreamer.mkv,23.325,5.039,249
Daydreamer.mkv,23.029,5.213,250
Daydreamer.mkv,23.195,5.383,251
Daydreamer.mkv,23.858,4.904,252
Daydreamer.mkv,24.334,3.979,253
Daydreamer.mkv,24.597,3.054,254
Daydreamer.mkv,24.058,3.226,255
Daydreamer.mkv,22.838,5.194,256
Daydreamer.mkv,22.006,6.259,257
Daydreamer.mkv,21.889,6.61,258
Daydreamer.mkv,22.63,6.371,259
Daydreamer.mkv,23.3,5.741,260
Daydreamer.mkv,23.425,5.463,261
Daydreamer.mkv,23.722,5.408,262
Daydreamer.mkv,24.507,4.704,263
Daydreamer.mkv,25.07,3.188,264
Daydreamer.mkv,24.455,3.093,265
Daydreamer.mkv,23.694,4.955,266
Daydreamer.mkv,23.854,5.338,267
Daydreamer.mkv,24.326,4.936,268
Daydreamer.mkv,24.589,4.443,269
Daydreamer.mkv,24.654,4.27,270
Daydreamer.mkv,24.501,4.375,271
Daydreamer.mkv,24.244,4.881,272
Daydreamer.mkv,24.402,5.005,273
Daydreamer.mkv,24.773,4.572,274
Daydreamer.mkv,25.313,3.523,275
Daydreamer.mkv,25.397,2.316,276
