input_file,si,ti,n
Sparks_cut.mkv,61.769,23.858,1
Sparks_cut.mkv,62.629,24.808,2
Sparks_cut.mkv,55.913,22.767,3
Sparks_cut.mkv,52.778,21.315,4
Sparks_cut.mkv,51.001,20.831,5
Sparks_cut.mkv,48.123,20.068,6
Sparks_cut.mkv,46.42,19.075,7
Sparks_cut.mkv,46.313,18.332,8
Sparks_cut.mkv,46.838,18.562,9
Sparks_cut.mkv,52.538,20.915,10
Sparks_cut.mkv,51.038,20.628,11
Sparks_cut.mkv,40.624,20.871,12
Sparks_cut.mkv,36.943,15.215,13
Sparks_cut.mkv,36.544,14.174,14
Sparks_cut.mkv,45.797,19.173,15
Sparks_cut.mkv,47.806,18.535,16
Sparks_cut.mkv,39.436,19.413,17
Sparks_cut.mkv,37.691,14.658,18
Sparks_cut.mkv,37.015,14.021,19
Sparks_cut.mkv,37.654,14.203,20
Sparks_cut.mkv,47.6,21.777,21
Sparks_cut.mkv,47.943,20.003,22
Sparks_cut.mkv,41.286,18.795,23
Sparks_cut.mkv,37.206,18.019,24
Sparks_cut.mkv,37.458,15.689,25
Sparks_cut.mkv,36.423,15.717,26
Sparks_cut.mkv,45.054,20.872,27
Sparks_cut.mkv,43.236,18.149,28
Sparks_cut.mkv,40.279,16.904,29
Sparks_cut.mkv,40.313,16.323,30
Sparks_cut.mkv,38.202,15.715,31
Sparks_cut.mkv,37.011,15.286,32
Sparks_cut.mkv,36.698,14.534,33
Sparks_cut.mkv,37.072,13.75,34
Sparks_cut.mkv,35.94,13.356,35
Sparks_cut.mkv,45.026,20.167,36
Sparks_cut.mkv,44.584,17.455,37
Sparks_cut.mkv,39.403,16.72,38
Sparks_cut.mkv,37.108,14.45,39
Sparks_cut.mkv,36.268,13.805,40
Sparks_cut.mkv,35.642,13.773,41
Sparks_cut.mkv,34.954,13.406,42
Sparks_cut.mkv,42.471,18.158,43
Sparks_cut.mkv,37.117,15.969,44
Sparks_cut.mkv,34.145,13.376,45
Sparks_cut.mkv,33.597,12.675,46
Sparks_cut.mkv,34.676,12.351,47
Sparks_cut.mkv,34.818,12.475,48
Sparks_cut.mkv,33.603,12.581,49
Sparks_cut.mkv,44.584,20.059,50
Sparks_cut.mkv,41.742,16.668,51
Sparks_cut.mkv,35.242,15.682,52
Sparks_cut.mkv,32.518,13.394,53
Sparks_cut.mkv,34.205,12.52,54
Sparks_cut.mkv,34.156,12.54,55
Sparks_cut.mkv,44.012,19.088,56
Sparks_cut.mkv,42.734,17.345,57
Sparks_cut.mkv,35.897,17.116,58
Sparks_cut.mkv,33.658,13.633,59
Sparks_cut.mkv,33.554,12.764,60
Sparks_cut.mkv,41.729,17.53,61
Sparks_cut.mkv,41.698,16.192,62
Sparks_cut.mkv,35.249,16.424,63
Sparks_cut.mkv,32.452,12.468,64
Sparks_cut.mkv,30.904,11.458,65
Sparks_cut.mkv,31.964,11.137,66
Sparks_cut.mkv,32.362,11.821,67
Sparks_cut.mkv,42.48,18.551,68
Sparks_cut.mkv,37.707,15.46,69
Sparks_cut.mkv,35.851,13.417,70
