input_file,si,ti,n
cutting_orange_tuil_8s.mkv,22.004,2.444,1
cutting_orange_tuil_8s.mkv,21.928,2.445,2
cutting_orange_tuil_8s.mkv,21.88,2.502,3
cutting_orange_tuil_8s.mkv,21.779,2.691,4
cutting_orange_tuil_8s.mkv,21.749,2.46,5
cutting_orange_tuil_8s.mkv,21.714,2.166,6
cutting_orange_tuil_8s.mkv,21.635,2.289,7
cutting_orange_tuil_8s.mkv,21.572,2.954,8
cutting_orange_tuil_8s.mkv,21.442,3.291,9
cutting_orange_tuil_8s.mkv,21.291,3.652,10
cutting_orange_tuil_8s.mkv,21.252,3.463,11
cutting_orange_tuil_8s.mkv,21.224,3.535,12
cutting_orange_tuil_8s.mkv,21.213,3.314,13
cutting_orange_tuil_8s.mkv,21.271,2.357,14
cutting_orange_tuil_8s.mkv,21.293,2.037,15
cutting_orange_tuil_8s.mkv,21.302,4.068,16
cutting_orange_tuil_8s.mkv,21.375,5.223,17
cutting_orange_tuil_8s.mkv,21.464,6.456,18
cutting_orange_tuil_8s.mkv,21.531,6.197,19
cutting_orange_tuil_8s.mkv,21.658,4.657,20
cutting_orange_tuil_8s.mkv,21.725,3.607,21
cutting_orange_tuil_8s.mkv,21.739,3.384,22
cutting_orange_tuil_8s.mkv,21.8,3.775,23
cutting_orange_tuil_8s.mkv,21.82,4.42,24
cutting_orange_tuil_8s.mkv,21.588,4.992,25
cutting_orange_tuil_8s.mkv,21.334,5.305,26
cutting_orange_tuil_8s.mkv,21.313,4.832,27
cutting_orange_tuil_8s.mkv,21.258,5.19,28
cutting_orange_tuil_8s.mkv,21.101,5.207,29
cutting_orange_tuil_8s.mkv,20.898,6.038,30
cutting_orange_tuil_8s.mkv,20.751,7.579,31
cutting_orange_tuil_8s.mkv,20.855,7.107,32
cutting_orange_tuil_8s.mkv,21.096,8.311,33
cutting_orange_tuil_8s.mkv,21.127,8.7,34
cutting_orange_tuil_8s.mkv,21.086,9.279,35
cutting_orange_tuil_8s.mkv,21.099,9.828,36
cutting_orange_tuil_8s.mkv,20.969,10.079,37
cutting_orange_tuil_8s.mkv,20.931,9.579,38
cutting_orange_tuil_8s.mkv,20.928,8.701,39
cutting_orange_tuil_8s.mkv,20.893,9.099,40
cutting_orange_tuil_8s.mkv,21.151,9.001,41
cutting_orange_tuil_8s.mkv,21.373,9.109,42
cutting_orange_tuil_8s.mkv,21.619,10.373,43
cutting_orange_tuil_8s.mkv,22.114,8.846,44
cutting_orange_tuil_8s.mkv,22.147,8.062,45
cutting_orange_tuil_8s.mkv,22.133,6.732,46
cutting_orange_tuil_8s.mkv,22.12,6.929,47
cutting_orange_tuil_8s.mkv,22.173,5.813,48
cutting_orange_tuil_8s.mkv,22.189,3.714,49
cutting_orange_tuil_8s.mkv,21.834,4.486,50
cutting_orange_tuil_8s.mkv,21.292,7.314,51
cutting_orange_tuil_8s.mkv,20.711,7.861,52
cutting_orange_tuil_8s.mkv,20.415,8.853,53
cutting_orange_tuil_8s.mkv,20.572,8.919,54
cutting_orange_tuil_8s.mkv,21.117,8.488,55
cutting_orange_tuil_8s.mkv,21.676,7.619,56
