input_file,si,ti,n
fr-041_debris.mkv,94.237,23.059,1
fr-041_debris.mkv,94.309,22.726,2
fr-041_debris.mkv,94.592,24.138,3
fr-041_debris.mkv,94.663,23.768,4
fr-041_debris.mkv,94.688,23.462,5
fr-041_debris.mkv,95.057,24.483,6
fr-041_debris.mkv,95.536,24.362,7
fr-041_debris.mkv,95.652,23.465,8
fr-041_debris.mkv,96.465,24.666,9
fr-041_debris.mkv,97.063,24.355,10
fr-041_debris.mkv,97.795,23.603,11
fr-041_debris.mkv,99.377,25.001,12
fr-041_debris.mkv,100.682,24.648,13
fr-041_debris.mkv,101.774,24.161,14
fr-041_debris.mkv,103.197,25.681,15
fr-041_debris.mkv,104.129,24.986,16
fr-041_debris.mkv,105.004,24.3,17
fr-041_debris.mkv,106.054,25.578,18
fr-041_debris.mkv,106.502,24.939,19
fr-041_debris.mkv,106.947,24.025,20
fr-041_debris.mkv,107.43,25.149,21
fr-041_debris.mkv,107.729,24.383,22
fr-041_debris.mkv,108.078,23.544,23
fr-041_debris.mkv,108.416,24.705,24
fr-041_debris.mkv,108.685,24.021,25
fr-041_debris.mkv,109.004,23.364,26
fr-041_debris.mkv,109.041,24.409,27
fr-041_debris.mkv,109.242,23.645,28
fr-041_debris.mkv,109.23,22.969,29
fr-041_debris.mkv,109.7,24.137,30
fr-041_debris.mkv,109.988,23.448,31
fr-041_debris.mkv,110.175,22.869,32
fr-041_debris.mkv,110.126,24.322,33
fr-041_debris.mkv,110.291,23.676,34
fr-041_debris.mkv,110.461,22.99,35
fr-041_debris.mkv,110.892,24.187,36
fr-041_debris.mkv,111.096,23.714,37
fr-041_debris.mkv,111.463,23.257,38
fr-041_debris.mkv,111.771,24.58,39
fr-041_debris.mkv,111.98,23.983,40
fr-041_debris.mkv,112.069,23.372,41
fr-041_debris.mkv,112.073,24.736,42
fr-041_debris.mkv,112.459,24.182,43
fr-041_debris.mkv,112.433,23.843,44
fr-041_debris.mkv,112.453,25.042,45
fr-041_debris.mkv,112.492,24.208,46
fr-041_debris.mkv,112.714,23.592,47
fr-041_debris.mkv,112.849,25.067,48
fr-041_debris.mkv,113.11,24.413,49
fr-041_debris.mkv,113.258,23.698,50
fr-041_debris.mkv,113.367,24.928,51
fr-041_debris.mkv,113.706,24.357,52
fr-041_debris.mkv,114.198,23.686,53
fr-041_debris.mkv,114.324,25.307,54
fr-041_debris.mkv,114.472,24.439,55
fr-041_debris.mkv,114.739,24.021,56
fr-041_debris.mkv,114.725,25.238,57
