input_file,si,ti,n
vegetables_tuil.mkv,1.326,4.759,1
vegetables_tuil.mkv,1.787,5.099,2
vegetables_tuil.mkv,2.208,5.186,3
vegetables_tuil.mkv,2.627,5.087,4
vegetables_tuil.mkv,3.08,5.197,5
vegetables_tuil.mkv,3.497,5.223,6
vegetables_tuil.mkv,3.993,4.956,7
vegetables_tuil.mkv,4.465,5.092,8
vegetables_tuil.mkv,4.954,5.146,9
vegetables_tuil.mkv,5.463,5.121,10
vegetables_tuil.mkv,5.924,5.295,11
vegetables_tuil.mkv,6.23,5.214,12
vegetables_tuil.mkv,6.272,2.903,13
vegetables_tuil.mkv,6.285,3.315,14
vegetables_tuil.mkv,6.268,2.213,15
vegetables_tuil.mkv,6.285,2.295,16
vegetables_tuil.mkv,6.277,2.04,17
vegetables_tuil.mkv,6.279,3.874,18
vegetables_tuil.mkv,6.325,4.742,19
vegetables_tuil.mkv,6.373,4.275,20
vegetables_tuil.mkv,6.392,4.177,21
vegetables_tuil.mkv,6.534,2.831,22
vegetables_tuil.mkv,6.519,1.357,23
vegetables_tuil.mkv,6.507,1.745,24
vegetables_tuil.mkv,6.532,1.023,25
vegetables_tuil.mkv,6.527,0.95,26
vegetables_tuil.mkv,6.514,0.953,27
vegetables_tuil.mkv,6.541,0.961,28
vegetables_tuil.mkv,6.547,0.977,29
vegetables_tuil.mkv,6.54,0.999,30
vegetables_tuil.mkv,6.567,1.043,31
vegetables_tuil.mkv,6.568,1.215,32
vegetables_tuil.mkv,6.501,1.853,33
vegetables_tuil.mkv,6.531,2.225,34
vegetables_tuil.mkv,6.576,2.271,35
vegetables_tuil.mkv,6.599,2.279,36
vegetables_tuil.mkv,6.658,1.992,37
vegetables_tuil.mkv,6.767,1.223,38
vegetables_tuil.mkv,6.718,1.171,39
vegetables_tuil.mkv,6.722,2.304,40
vegetables_tuil.mkv,6.781,2.317,41
vegetables_tuil.mkv,6.785,1.789,42
vegetables_tuil.mkv,6.84,1.927,43
vegetables_tuil.mkv,6.893,2.258,44
vegetables_tuil.mkv,6.859,2.303,45
vegetables_tuil.mkv,6.846,2.155,46
vegetables_tuil.mkv,6.886,1.835,47
vegetables_tuil.mkv,6.934,1.357,48
vegetables_tuil.mkv,6.996,1.129,49
vegetables_tuil.mkv,6.997,1.123,50
vegetables_tuil.mkv,7.007,0.993,51
vegetables_tuil.mkv,6.994,1.077,52
vegetables_tuil.mkv,6.952,1.816,53
vegetables_tuil.mkv,7.011,1.922,54
vegetables_tuil.mkv,7.136,1.391,55
vegetables_tuil.mkv,7.059,1.638,56
vegetables_tuil.mkv,6.865,3.635,57
vegetables_tuil.mkv,6.818,5.358,58
vegetables_tuil.mkv,6.778,6.401,59
vegetables_tuil.mkv,6.816,6.746,60
vegetables_tuil.mkv,6.852,6.446,61
vegetables_tuil.mkv,7.01,6.227,62
vegetables_tuil.mkv,6.862,6.608,63
vegetables_tuil.mkv,6.716,8.647,64
vegetables_tuil.mkv,6.587,10.521,65
vegetables_tuil.mkv,6.524,12.061,66
vegetables_tuil.mkv,6.613,13.299,67
vegetables_tuil.mkv,6.774,13.468,68
vegetables_tuil.mkv,6.856,13.422,69
vegetables_tuil.mkv,7.371,14.863,70
vegetables_tuil.mkv,7.361,14.264,71
vegetables_tuil.mkv,8.308,13.441,72
vegetables_tuil.mkv,8.321,12.756,73
vegetables_tuil.mkv,8.616,12.528,74
vegetables_tuil.mkv,8.588,12.243,75
vegetables_tuil.mkv,9.06,10.512,76
vegetables_tuil.mkv,9.332,9.328,77
vegetables_tuil.mkv,10.045,8.598,78
vegetables_tuil.mkv,12.181,7.157,79
vegetables_tuil.mkv,12.663,6.498,80
vegetables_tuil.mkv,12.929,7.086,81
vegetables_tuil.mkv,12.737,7.421,82
vegetables_tuil.mkv,12.655,5.901,83
vegetables_tuil.mkv,12.688,6.057,84
vegetables_tuil.mkv,12.671,7.483,85
vegetables_tuil.mkv,12.857,9.261,86
vegetables_tuil.mkv,12.898,8.642,87
vegetables_tuil.mkv,12.949,7.389,88
vegetables_tuil.mkv,12.958,5.989,89
vegetables_tuil.mkv,12.927,4.933,90
vegetables_tuil.mkv,12.895,3.208,91
vegetables_tuil.mkv,12.905,2.824,92
vegetables_tuil.mkv,12.96,2.78,93
vegetables_tuil.mkv,12.926,2.493,94
vegetables_tuil.mkv,12.914,2.402,95
vegetables_tuil.mkv,12.917,2.178,96
vegetables_tuil.mkv,12.9,2.371,97
vegetables_tuil.mkv,12.904,2.331,98
vegetables_tuil.mkv,12.908,2.09,99
vegetables_tuil.mkv,12.891,1.805,100
vegetables_tuil.mkv,12.913,1.502,101
vegetables_tuil.mkv,12.918,1.587,102
vegetables_tuil.mkv,12.913,1.59,103
vegetables_tuil.mkv,12.924,1.237,104
vegetables_tuil.mkv,12.916,1.14,105
vegetables_tuil.mkv,12.895,1.103,106
vegetables_tuil.mkv,12.897,1.058,107
vegetables_tuil.mkv,12.909,1.037,108
vegetables_tuil.mkv,12.892,1.047,109
vegetables_tuil.mkv,12.901,1.034,110
vegetables_tuil.mkv,12.886,1.036,111
vegetables_tuil.mkv,12.886,1.038,112
vegetables_tuil.mkv,12.889,1.035,113
