video,resolution,qp,bitrate_kbps,vmaf
av1_encoded_videos\bigbuck_bunny_av1_360p_qp24.mkv,360,24,932.031,57.25242155333332
av1_encoded_videos\bigbuck_bunny_av1_360p_qp30.mkv,360,30,670.247,55.70892241666661
av1_encoded_videos\bigbuck_bunny_av1_720p_qp24.mkv,720,24,2095.244,84.53860563500005
av1_encoded_videos\bigbuck_bunny_av1_720p_qp30.mkv,720,30,1458.643,82.68614608833329
av1_encoded_videos\bigbuck_bunny_av1_720p_qp36.mkv,720,36,995.561,80.19087015666668
av1_encoded_videos\bigbuck_bunny_av1_1080p_qp24.mkv,1080,24,3598.953,92.33195382333322
av1_encoded_videos\bigbuck_bunny_av1_1080p_qp30.mkv,1080,30,2487.76,90.98856966499993
av1_encoded_videos\bigbuck_bunny_av1_1080p_qp36.mkv,1080,36,1663.888,88.9546138666666
av1_encoded_videos\bigbuck_bunny_av1_2160p_qp24.mkv,2160,24,8853.222,98.88040156000001
av1_encoded_videos\bigbuck_bunny_av1_2160p_qp30.mkv,2160,30,5999.828,98.13782070833341
av1_encoded_videos\bigbuck_bunny_av1_2160p_qp36.mkv,2160,36,4010.4,96.96250489000005
