video,resolution,qp,bitrate_kbps,vmaf
av1_encoded_videos\cutting_orange_tuil_8s_av1_360p_qp24.mkv,360,24,657.149,50.01955346458333
av1_encoded_videos\cutting_orange_tuil_8s_av1_360p_qp30.mkv,360,30,454.0,47.99557654374999
av1_encoded_videos\cutting_orange_tuil_8s_av1_720p_qp24.mkv,720,24,1434.312,80.69774505416665
av1_encoded_videos\cutting_orange_tuil_8s_av1_720p_qp30.mkv,720,30,961.35,78.4521076291667
av1_encoded_videos\cutting_orange_tuil_8s_av1_720p_qp36.mkv,720,36,648.532,75.18154695625
av1_encoded_videos\cutting_orange_tuil_8s_av1_1080p_qp24.mkv,1080,24,2495.426,90.39601728333346
av1_encoded_videos\cutting_orange_tuil_8s_av1_1080p_qp30.mkv,1080,30,1660.742,88.5668908395833
av1_encoded_videos\cutting_orange_tuil_8s_av1_1080p_qp36.mkv,1080,36,1107.555,85.78472060833322
av1_encoded_videos\cutting_orange_tuil_8s_av1_2160p_qp24.mkv,2160,24,6602.575,96.57003825416679
av1_encoded_videos\cutting_orange_tuil_8s_av1_2160p_qp30.mkv,2160,30,4084.422,95.3535328854166
av1_encoded_videos\cutting_orange_tuil_8s_av1_2160p_qp36.mkv,2160,36,2626.217,93.53500694791676
