video,resolution,qp,bitrate_kbps,vmaf
av1_encoded_videos\vegetables_tuil_av1_360p_qp24.mkv,360,24,525.451,66.40355523294505
av1_encoded_videos\vegetables_tuil_av1_360p_qp30.mkv,360,30,367.302,64.959693311148
av1_encoded_videos\vegetables_tuil_av1_720p_qp24.mkv,720,24,1018.568,86.62869811148096
av1_encoded_videos\vegetables_tuil_av1_720p_qp30.mkv,720,30,693.407,85.25412876705494
av1_encoded_videos\vegetables_tuil_av1_720p_qp36.mkv,720,36,473.367,83.2435427603993
av1_encoded_videos\vegetables_tuil_av1_1080p_qp24.mkv,1080,24,1642.539,92.53772988519125
av1_encoded_videos\vegetables_tuil_av1_1080p_qp30.mkv,1080,30,1109.216,91.50508833277861
av1_encoded_videos\vegetables_tuil_av1_1080p_qp36.mkv,1080,36,754.575,89.69350912978382
av1_encoded_videos\vegetables_tuil_av1_2160p_qp24.mkv,2160,24,4159.908,96.9263749018304
av1_encoded_videos\vegetables_tuil_av1_2160p_qp30.mkv,2160,30,2637.751,96.23426457737095
av1_encoded_videos\vegetables_tuil_av1_2160p_qp36.mkv,2160,36,1743.549,95.02689996505832
