video,resolution,qp,bitrate_kbps,vmaf
h265_encoded_videos\cutting_orange_tuil_8s_h265_360p_qp24.mp4,360,24,640.388,44.929974329166626
h265_encoded_videos\cutting_orange_tuil_8s_h265_360p_qp30.mp4,360,30,285.603,36.73895838749995
h265_encoded_videos\cutting_orange_tuil_8s_h265_720p_qp24.mp4,720,24,1710.404,77.52017776875003
h265_encoded_videos\cutting_orange_tuil_8s_h265_720p_qp30.mp4,720,30,747.656,68.4024037479167
h265_encoded_videos\cutting_orange_tuil_8s_h265_720p_qp36.mp4,720,36,348.773,55.82098029791667
h265_encoded_videos\cutting_orange_tuil_8s_h265_1080p_qp24.mp4,1080,24,3215.947,87.13710747916672
h265_encoded_videos\cutting_orange_tuil_8s_h265_1080p_qp30.mp4,1080,30,1378.174,79.25380991666663
h265_encoded_videos\cutting_orange_tuil_8s_h265_1080p_qp36.mp4,1080,36,631.952,67.27664992291669
h265_encoded_videos\cutting_orange_tuil_8s_h265_2160p_qp24.mp4,2160,24,9945.657,94.99928966458324
h265_encoded_videos\cutting_orange_tuil_8s_h265_2160p_qp30.mp4,2160,30,3834.308,90.32435750833332
h265_encoded_videos\cutting_orange_tuil_8s_h265_2160p_qp36.mp4,2160,36,1752.125,81.61090306249996
