video,resolution,qp,bitrate_kbps,vmaf
h265_encoded_videos\Dancers_8s_h265_360p_qp24.mp4,360,24,346.558,65.74396277708335
h265_encoded_videos\Dancers_8s_h265_360p_qp30.mp4,360,30,176.509,58.38099868750002
h265_encoded_videos\Dancers_8s_h265_720p_qp24.mp4,720,24,851.409,84.79598406875002
h265_encoded_videos\Dancers_8s_h265_720p_qp30.mp4,720,30,410.093,78.75400416458335
h265_encoded_videos\Dancers_8s_h265_720p_qp36.mp4,720,36,218.391,69.11268748958331
h265_encoded_videos\Dancers_8s_h265_1080p_qp24.mp4,1080,24,1780.405,89.45396614583335
h265_encoded_videos\Dancers_8s_h265_1080p_qp30.mp4,1080,30,696.76,84.88298337916669
h265_encoded_videos\Dancers_8s_h265_1080p_qp36.mp4,1080,36,369.03,77.15657723124998
h265_encoded_videos\Dancers_8s_h265_2160p_qp24.mp4,2160,24,27542.862,93.36475857708342
h265_encoded_videos\Dancers_8s_h265_2160p_qp30.mp4,2160,30,2220.254,90.36176938541672
h265_encoded_videos\Dancers_8s_h265_2160p_qp36.mp4,2160,36,882.194,85.67608833958339
