video,resolution,qp,bitrate_kbps,vmaf
vvc_decoded_videos\vegetables_tuil_vvc_360p_qp24.mkv,360,24,36897.452,66.04016822628954
vvc_decoded_videos\vegetables_tuil_vvc_360p_qp30.mkv,360,30,33646.845,62.94381939267892
vvc_decoded_videos\vegetables_tuil_vvc_720p_qp24.mkv,720,24,41875.376,86.38140582362719
vvc_decoded_videos\vegetables_tuil_vvc_720p_qp30.mkv,720,30,37330.395,83.86667679034946
vvc_decoded_videos\vegetables_tuil_vvc_720p_qp36.mkv,720,36,34157.252,78.86243153244592
vvc_decoded_videos\vegetables_tuil_vvc_1080p_qp24.mkv,1080,24,43276.688,91.75690344592343
vvc_decoded_videos\vegetables_tuil_vvc_1080p_qp30.mkv,1080,30,39066.407,89.78073896006656
vvc_decoded_videos\vegetables_tuil_vvc_1080p_qp36.mkv,1080,36,36041.64,85.6066591630616
vvc_decoded_videos\vegetables_tuil_vvc_2160p_qp24.mkv,2160,24,51889.943,95.58154960066561
vvc_decoded_videos\vegetables_tuil_vvc_2160p_qp30.mkv,2160,30,41782.306,93.94150296505828
vvc_decoded_videos\vegetables_tuil_vvc_2160p_qp36.mkv,2160,36,38136.024,90.74711947587349
